epoch,train_loss,val_loss,val_acc_hc,val_acc_pd,val_acc_combined
1,0.49801572857372767,0.3823816170126705,0.8302419354838709,0.8072604790419161,0.8187512072628935
2,0.35827420752423733,0.2940041393799297,0.9040322580645161,0.8847305389221557,0.894381398493336
3,0.3117173623764285,0.27507504909220387,0.8745967741935484,0.8648952095808383,0.8697459918871934
4,0.2799022920764743,0.20539880632343938,0.9189516129032258,0.9195359281437125,0.9192437705234692
5,0.25805901737616455,0.41990649195040686,0.8649193548387096,0.8660179640718563,0.865468659455283
6,0.2357939098915783,0.1913179015204058,0.9225806451612903,0.9240269461077845,0.9233037956345373
7,0.22496963059429947,0.19342105002221416,0.9209677419354839,0.9221556886227545,0.9215617152791192
8,0.21823919040392248,0.22519270406436112,0.8883064516129032,0.9142964071856288,0.901301429399266
9,0.21545417148149243,0.19157068784964287,0.9221774193548387,0.9232784431137725,0.9227279312343055
10,0.19762304753097018,0.1797368599701736,0.9346774193548387,0.9236526946107785,0.9291650569828086
11,0.20512336861078947,0.17921194263686568,0.9346774193548387,0.9236526946107785,0.9291650569828086
12,0.1944474003794234,0.20010669264247863,0.9318548387096774,0.9202844311377245,0.926069634923701
13,0.20102565988451562,0.20256672344975551,0.9205645161290322,0.9086826347305389,0.9146235754297856
14,0.18415329181359846,0.44353453423512185,0.8879032258064516,0.875,0.8814516129032258
15,0.18426742194104756,0.17020634593347372,0.9350806451612903,0.9247754491017964,0.9299280471315434
16,0.1747013143955768,0.19136850554811752,0.9354838709677419,0.8895958083832335,0.9125398396754877
17,0.18756236123994025,0.1697053822167849,0.9346774193548387,0.9247754491017964,0.9297264342283176
18,0.1842348430728504,0.20253645275103843,0.9350806451612903,0.9094311377245509,0.9222558914429206
19,0.17697973279741133,0.18355016789193881,0.9334677419354839,0.9240269461077845,0.9287473440216342
20,0.17929148634923603,0.19405825657107062,0.9354838709677419,0.9105538922155688,0.9230188815916553
21,0.17638895446853414,0.17048781226247045,0.9346774193548387,0.9236526946107785,0.9291650569828086
22,0.17624846594188784,0.1713473449571658,0.9350806451612903,0.9232784431137725,0.9291795441375315
23,0.17215144431429896,0.16860169361708527,0.9350806451612903,0.9244011976047904,0.9297409213830403
24,0.17697740047851007,0.166579029128208,0.9342741935483871,0.9247754491017964,0.9295248213250917
25,0.17460658405239374,0.16978707492856657,0.9346774193548387,0.9240269461077845,0.9293521827313116
