pct_labels,n_samples,acc_hc_vs_pd,acc_pd_vs_dd,acc_combined,precision_hc,recall_hc,f1_hc,precision_pd,recall_pd,f1_pd,val_loss,best_epoch
5,750,0.8769,0.8683,0.8726,0.8872,0.8769,0.8739,0.8795,0.8683,0.8667,0.3811,53
10,1500,0.9208,0.9135,0.9172,0.9278,0.9208,0.9195,0.9221,0.9135,0.9128,0.2149,49
20,3000,0.9333,0.9169,0.9251,0.9374,0.9333,0.9325,0.9261,0.9169,0.9162,0.2037,29
50,7500,0.9382,0.9251,0.9317,0.9442,0.9382,0.9374,0.9346,0.9251,0.9245,0.1686,25
70,10500,0.9382,0.9240,0.9311,0.9440,0.9382,0.9374,0.9333,0.9240,0.9234,0.1886,32
100,15000,0.9378,0.9251,0.9315,0.9439,0.9378,0.9369,0.9346,0.9251,0.9245,0.1691,11
