pct_labels,n_samples,acc_hc_vs_pd,acc_pd_vs_dd,acc_combined,precision_hc,recall_hc,f1_hc,precision_pd,recall_pd,f1_pd,val_loss,best_epoch
5,747,0.8246,0.8368,0.8307,0.8396,0.8246,0.8193,0.8509,0.8368,0.8343,0.5057,41
10,1494,0.8508,0.8634,0.8571,0.8673,0.8508,0.8465,0.8781,0.8634,0.8614,0.3152,29
20,2987,0.9097,0.9087,0.9092,0.9222,0.9097,0.9079,0.9214,0.9087,0.9076,0.2158,36
50,7466,0.9355,0.9259,0.9307,0.9421,0.9355,0.9347,0.9351,0.9259,0.9253,0.1673,37
70,10453,0.9359,0.9251,0.9305,0.9425,0.9359,0.9351,0.9346,0.9251,0.9245,0.1761,13
100,14932,0.9359,0.9251,0.9305,0.9425,0.9359,0.9351,0.9346,0.9251,0.9245,0.1775,16
