pct_labels,n_samples,acc_hc_vs_pd,acc_pd_vs_dd,acc_combined,precision_hc,recall_hc,f1_hc,precision_pd,recall_pd,f1_pd,val_loss,best_epoch
5,749,0.8602,0.8541,0.8572,0.8628,0.8602,0.8607,0.8599,0.8541,0.8526,0.3609,49
10,1498,0.8642,0.8742,0.8692,0.8823,0.8642,0.8600,0.8904,0.8742,0.8717,0.3039,40
20,2995,0.8626,0.8872,0.8749,0.8811,0.8626,0.8583,0.8987,0.8872,0.8854,0.2977,20
50,7486,0.9357,0.9267,0.9312,0.9421,0.9357,0.9349,0.9353,0.9267,0.9259,0.1838,18
70,10481,0.9361,0.9278,0.9320,0.9426,0.9361,0.9353,0.9364,0.9278,0.9270,0.1691,16
100,14972,0.9345,0.9255,0.9300,0.9406,0.9345,0.9337,0.9334,0.9255,0.9248,0.1792,12
