pct_labels,n_samples,acc_hc_vs_pd,acc_pd_vs_dd,acc_combined,precision_hc,recall_hc,f1_hc,precision_pd,recall_pd,f1_pd,val_loss,best_epoch
5,747,0.7968,0.8312,0.8140,0.8333,0.7968,0.7850,0.8547,0.8312,0.8272,0.4092,19
10,1494,0.8690,0.8593,0.8641,0.8793,0.8690,0.8663,0.8714,0.8593,0.8575,0.3728,33
20,2987,0.9109,0.8713,0.8911,0.9148,0.9109,0.9100,0.8714,0.8713,0.8712,0.2785,35
50,7466,0.9355,0.9248,0.9301,0.9416,0.9355,0.9347,0.9337,0.9248,0.9241,0.1675,22
70,10453,0.9351,0.9251,0.9301,0.9416,0.9351,0.9343,0.9346,0.9251,0.9245,0.1706,18
100,14932,0.9355,0.9251,0.9303,0.9421,0.9355,0.9347,0.9346,0.9251,0.9245,0.1722,13
