pct_labels,n_samples,acc_hc_vs_pd,acc_pd_vs_dd,acc_combined,precision_hc,recall_hc,f1_hc,precision_pd,recall_pd,f1_pd,val_cse,best_epoch
5,747,0.7298,0.6658,0.6978,0.7287,0.7298,0.7288,0.6658,0.6658,0.6658,0.5775,50
10,1494,0.7060,0.6497,0.6779,0.7051,0.7060,0.7054,0.6514,0.6497,0.6498,0.5978,16
20,2987,0.7286,0.7414,0.7350,0.7274,0.7286,0.7265,0.7511,0.7414,0.7370,0.5244,37
50,7466,0.8218,0.7695,0.7956,0.8303,0.8218,0.8178,0.7783,0.7695,0.7663,0.4464,50
70,10453,0.8190,0.7979,0.8084,0.8208,0.8190,0.8170,0.8067,0.7979,0.7954,0.4245,50
100,14932,0.8310,0.7953,0.8132,0.8426,0.8310,0.8268,0.8116,0.7953,0.7912,0.4353,49
