epoch,train_loss,val_loss,train_accuracy,train_precision_avg,train_recall_avg,train_f1_avg,train_precision_per_class,train_recall_per_class,train_f1_per_class,train_support_per_class,train_confusion_matrix,val_accuracy,val_precision_avg,val_recall_avg,val_f1_avg,val_precision_per_class,val_recall_per_class,val_f1_per_class,val_support_per_class,val_confusion_matrix
1,0.606257090711186,0.4524656822115688,0.6242486851990984,0.6383031273556586,0.6242486851990984,0.6053189815199436,0.603892|0.676362,0.826896|0.400119,0.698015|0.502796,5592|5056,4624|968|3033|2023,0.7586077844311377,0.7597122605554936,0.7586077844311377,0.7587111071819478,0.781462|0.736059,0.744971|0.773438,0.762780|0.754286,1392|1280,1037|355|290|990
2,0.40313203671039677,0.3601143526828895,0.7736664162283997,0.7887574768407984,0.7736664162283997,0.7686893992003171,0.730513|0.853177,0.901645|0.632120,0.807107|0.726199,5592|5056,5042|550|1860|3196,0.7915419161676647,0.8463385751428978,0.7915419161676647,0.7806503122284302,0.716209|0.987854,0.993534|0.571875,0.832380|0.724394,1392|1280,1383|9|548|732
3,0.3703276810483036,0.3179178432387821,0.7986476333583772,0.8305237954410596,0.7986476333583772,0.7915246633305265,0.736164|0.934886,0.961016|0.619066,0.833695|0.744883,5592|5056,5374|218|1926|3130,0.8207335329341318,0.8661674988915843,0.8207335329341318,0.8133188486311483,0.744248|0.998755,0.999282|0.626563,0.853113|0.770043,1392|1280,1391|1|478|802
4,0.3334646498163541,0.29481572948269924,0.8281367392937641,0.853067131512408,0.8281367392937641,0.8235585321145356,0.766733|0.948554,0.966917|0.674644,0.855267|0.788488,5592|5056,5407|185|1645|3411,0.8514221556886228,0.8560168680363022,0.8514221556886228,0.8504793413445336,0.819936|0.895255,0.915948|0.781250,0.865287|0.834376,1392|1280,1275|117|280|1000
5,0.31200165881050956,0.28214088057057335,0.8431630353117956,0.8476231304847516,0.8431630353117956,0.8420519185496169,0.813559|0.885298,0.909871|0.769383,0.859024|0.823280,5592|5056,5088|504|1166|3890,0.8491766467065869,0.8491815826892878,0.8491766467065869,0.8491789956296187,0.855500|0.842311,0.854885|0.842969,0.855192|0.842640,1392|1280,1190|202|201|1079
6,0.2860051933516804,0.2370452605566736,0.8639181066867018,0.8645894304762796,0.8639181066867018,0.8636382655651481,0.852596|0.877855,0.895744|0.828718,0.873637|0.852579,5592|5056,5009|583|866|4190,0.8843562874251497,0.8853636355963153,0.8843562874251497,0.884119379288112,0.868618|0.903574,0.916667|0.849219,0.891996|0.875554,1392|1280,1276|116|193|1087
7,0.26629574644642,0.23794130097001287,0.874060856498873,0.8761176756404818,0.874060856498873,0.8735813986354365,0.852429|0.902318,0.919349|0.823972,0.884625|0.861367,5592|5056,5141|451|890|4166,0.8398203592814372,0.8405002602368412,0.8398203592814372,0.8398893204872142,0.858631|0.820783,0.829023|0.851562,0.843567|0.835890,1392|1280,1154|238|190|1090
8,0.2478323346401891,0.3139791100964708,0.8787565740045079,0.8830699781251591,0.8787565740045079,0.8780098179417086,0.847023|0.922939,0.938662|0.812500,0.890491|0.864205,5592|5056,5249|343|948|4108,0.8899700598802395,0.8900635185325549,0.8899700598802395,0.8899042219966886,0.886076|0.894400,0.905172|0.873437,0.895522|0.883794,1392|1280,1260|132|162|1118
9,0.23433605890370843,0.19737609842066037,0.8943463561232157,0.9014604913618516,0.8943463561232157,0.8934555669248728,0.852788|0.955293,0.965486|0.815665,0.905645|0.879974,5592|5056,5399|193|932|4124,0.9229041916167665,0.9318504884697408,0.9229041916167665,0.9222435379981019,0.873426|0.995387,0.996408|0.842969,0.930872|0.912860,1392|1280,1387|5|201|1079
10,0.22192081856804016,0.20214308596263497,0.9048647633358378,0.9142883919060881,0.9048647633358378,0.9039031915913309,0.856675|0.978009,0.983369|0.818038,0.915661|0.890899,5592|5056,5499|93|920|4136,0.9236526946107785,0.9332102677877518,0.9236526946107785,0.922964927938512,0.872647|0.999072,0.999282|0.841406,0.931681|0.913486,1392|1280,1391|1|203|1077
