epoch,accuracy,precision,recall,f1
1,0.5490521327014218,0.5700800362636742,0.5490521327014218,0.4770523770172934
2,0.6981042654028436,0.7046085222277026,0.6981042654028436,0.6931617796325648
3,0.8329383886255924,0.8589806393067216,0.8329383886255924,0.8285760554237115
4,0.866824644549763,0.8682161040348078,0.866824644549763,0.8668877503237684
5,0.8850710900473934,0.885399210623395,0.8850710900473934,0.8849388822860209
6,0.8751184834123222,0.8758072596009854,0.8751184834123222,0.8748960466617264
7,0.8808056872037915,0.8810340878940355,0.8808056872037915,0.8808446296530275
8,0.888388625592417,0.8885385050429743,0.888388625592417,0.8883008061247981
9,0.8864928909952606,0.8873740133738437,0.8864928909952606,0.8862696451567541
10,0.89739336492891,0.8981567723223597,0.89739336492891,0.8972152476179223
11,0.8881516587677725,0.8883768663847583,0.8881516587677725,0.8880459871125465
12,0.8888625592417062,0.88975660121262,0.8888625592417062,0.8886439740678868
13,0.8881516587677725,0.889685128815155,0.8881516587677725,0.8878434584744407
14,0.885308056872038,0.8861303026232225,0.885308056872038,0.8850905626688875
15,0.8855450236966824,0.8865687628490906,0.8855450236966824,0.8852978282609179
16,0.8933649289099526,0.8936841767361142,0.8933649289099526,0.893248386114308
17,0.8864928909952606,0.8876607384168356,0.8864928909952606,0.8865487162281083
18,0.8890995260663507,0.8907857535138213,0.8890995260663507,0.8887755899741047
19,0.8902843601895735,0.8904084334469702,0.8902843601895735,0.890205409615936
20,0.8796208530805687,0.8807672433200264,0.8796208530805687,0.8796801736602831
