epoch,accuracy,precision,recall,f1
1,0.5969311377245509,0.6005009312806747,0.5969311377245509,0.58574152985636
2,0.9142964071856288,0.9253063647188429,0.9142964071856288,0.9134126877810804
3,0.9105538922155688,0.9231968390894417,0.9105538922155688,0.909514755442475
4,0.9094311377245509,0.9145604021495679,0.9094311377245509,0.9089062893516309
5,0.9124251497005988,0.9234757929246614,0.9124251497005988,0.9115151853417002
6,0.9142964071856288,0.9257384987209736,0.9142964071856288,0.9133853270912152
7,0.9273952095808383,0.9355222171168468,0.9273952095808383,0.9268244445983324
8,0.9262724550898204,0.932405469756081,0.9262724550898204,0.9258046101885974
9,0.9277694610778443,0.9361850845622727,0.9277694610778443,0.9271865226413717
10,0.9221556886227545,0.924789534591236,0.9221556886227545,0.9218875817607272
11,0.9210329341317365,0.925469730128372,0.9210329341317365,0.9206348050551995
12,0.9120508982035929,0.9133557470719728,0.9120508982035929,0.9118573128111293
13,0.9273952095808383,0.9317324144335211,0.9273952095808383,0.9270412692758395
14,0.9202844311377245,0.9237139244441712,0.9202844311377245,0.9199510363376818
15,0.9086826347305389,0.9090016413612454,0.9086826347305389,0.9085945418917216
16,0.9258982035928144,0.9313333883612718,0.9258982035928144,0.925468782196789
17,0.9045658682634731,0.9052825369430729,0.9045658682634731,0.9044178632880054
