epoch,accuracy,precision,recall,f1
1,0.5612903225806452,0.3150468262226847,0.5612903225806452,0.40357238069848045
2,0.9108870967741935,0.9230966142031478,0.9108870967741935,0.9091271443340108
3,0.9225806451612903,0.9319648093841642,0.9225806451612903,0.9213319458896981
4,0.9306451612903226,0.936083573255845,0.9306451612903226,0.9298648911281318
5,0.9358870967741936,0.9420960421381417,0.9358870967741936,0.9351191627187272
6,0.9346774193548387,0.9411168921262574,0.9346774193548387,0.9338742658369796
7,0.9370967741935484,0.941165817770232,0.9370967741935484,0.9365135368663595
8,0.9370967741935484,0.9408843129228972,0.9370967741935484,0.9365373173211977
9,0.9358870967741936,0.9422764382403322,0.9358870967741936,0.9351056225143147
10,0.9262096774193549,0.9262722101079025,0.9262096774193549,0.9260737414990979
11,0.9338709677419355,0.9377205675943404,0.9338709677419355,0.9332703691386764
12,0.9306451612903226,0.9312057626057,0.9306451612903226,0.9304032460100918
13,0.9366935483870967,0.9412699294099434,0.9366935483870967,0.9360637969595964
14,0.9338709677419355,0.9369338041620362,0.9338709677419355,0.9333436331533197
15,0.9233870967741935,0.9234995542092316,0.9233870967741935,0.9232220728491328
16,0.9334677419354839,0.9357753029952878,0.9334677419354839,0.9330131259089021
17,0.917741935483871,0.917741935483871,0.917741935483871,0.917741935483871
