pct_labels,n_samples,acc_hc_vs_pd,acc_pd_vs_dd,acc_combined,precision_hc,recall_hc,f1_hc,precision_pd,recall_pd,f1_pd,val_cse,best_epoch
5,747,0.8181,0.7912,0.8047,0.8215,0.8181,0.8156,0.7941,0.7912,0.7900,0.5402,25
10,1494,0.8702,0.8525,0.8614,0.8831,0.8702,0.8671,0.8668,0.8525,0.8503,0.3237,22
20,2987,0.9258,0.9173,0.9215,0.9285,0.9258,0.9252,0.9228,0.9173,0.9168,0.2469,32
50,7466,0.9339,0.9251,0.9295,0.9384,0.9339,0.9332,0.9334,0.9251,0.9246,0.1732,27
70,10453,0.9351,0.9259,0.9305,0.9411,0.9351,0.9343,0.9347,0.9259,0.9253,0.1702,35
100,14932,0.9359,0.9251,0.9305,0.9425,0.9359,0.9351,0.9346,0.9251,0.9245,0.1730,15
