number,value,datetime_start,datetime_complete,duration,params_batch_size,params_d_ff,params_dropout,params_learning_rate,params_model_dim,params_num_heads,params_num_layers,params_weight_decay,state
0,0.9042768845621194,2026-03-31 22:00:45.494954,2026-03-31 22:05:43.130561,0 days 00:04:57.635607,32,512,0.34044600469728353,0.0002607024758370766,64,4,2,1.1527987128232396e-05,COMPLETE
1,0.8935516385180815,2026-03-31 22:05:43.164580,2026-03-31 22:16:36.192471,0 days 00:10:53.027891,32,256,0.21685785941408728,5.4041038546473305e-05,64,8,3,0.00023345864076016249,COMPLETE
2,0.5829461366374118,2026-03-31 22:16:36.212702,2026-03-31 22:20:24.922194,0 days 00:03:48.709492,128,256,0.2218455076693483,1.5679933916722995e-05,32,4,2,0.0011290133559092666,COMPLETE
3,0.7864456572510263,2026-03-31 22:20:24.942034,2026-03-31 22:22:47.212392,0 days 00:02:22.270358,128,256,0.48783385110582345,0.0003550304858128307,64,8,2,0.006584106160121612,PRUNED
4,0.754670432103318,2026-03-31 22:22:47.230316,2026-03-31 22:26:18.487528,0 days 00:03:31.257212,128,256,0.2123738038749523,0.00012172847081122418,64,8,3,2.6471141828218167e-05,PRUNED
5,0.6462277003384387,2026-03-31 22:26:18.505389,2026-03-31 22:30:30.116197,0 days 00:04:11.610808,32,256,0.24338629141770907,1.70505392602693e-05,32,8,4,0.0038842777547031426,PRUNED
6,0.908224139767764,2026-03-31 22:30:30.134501,2026-03-31 22:39:14.906790,0 days 00:08:44.772289,64,512,0.40431401944675904,0.0001326033192269654,64,4,4,0.002055424552015075,COMPLETE
7,0.9229135424605224,2026-03-31 22:39:14.939132,2026-03-31 22:46:16.678124,0 days 00:07:01.738992,64,256,0.2641531692142519,0.0003244160088734161,64,8,2,4.857295179217165e-05,COMPLETE
8,0.4729986642738321,2026-03-31 22:46:16.706655,2026-03-31 22:50:09.238022,0 days 00:03:52.531367,128,256,0.422976062065625,0.0006197015748809143,32,8,4,8.995191735587162e-05,PRUNED
9,0.6191254681187567,2026-03-31 22:50:09.256708,2026-03-31 22:53:14.124073,0 days 00:03:04.867365,128,512,0.47716388156500766,4.4300218067679785e-05,64,8,3,0.0003600575029200903,PRUNED
10,0.9277048454900805,2026-03-31 22:53:14.143510,2026-03-31 22:57:09.110336,0 days 00:03:54.966826,64,128,0.1138798637116053,0.0006536264082965735,32,4,2,5.83889111222153e-05,COMPLETE
