epoch,train_loss,val_loss,val_acc_hc,val_acc_pd,val_acc_combined
1,0.5106649830203496,0.40968215010933956,0.8100806451612903,0.7780688622754491,0.7940747537183697
2,0.35832969630555883,0.3088120795407538,0.880241935483871,0.8622754491017964,0.8712586922928337
3,0.31040752974261054,0.2645806486450009,0.8806451612903226,0.8682634730538922,0.8744543171721073
4,0.2771913940505757,0.22174023874735427,0.9185483870967742,0.9180389221556886,0.9182936546262315
5,0.25016782806121307,0.21905191166926238,0.917741935483871,0.9146706586826348,0.9162062970832529
6,0.2341097912390176,0.21662880682339103,0.9185483870967742,0.8794910179640718,0.899019702530423
7,0.2254167264147923,0.37335815634262765,0.8649193548387096,0.8787425149700598,0.8718309349043847
8,0.2196109547046446,0.22897169246511945,0.9185483870967742,0.8798652694610778,0.8992068282789261
9,0.220646046580671,0.1963084429123644,0.917741935483871,0.9195359281437125,0.9186389318137917
10,0.22368086241105894,0.4049637457829411,0.8741935483870967,0.8633982035928144,0.8687958759899556
11,0.21618071321310273,0.20446646459779497,0.9225806451612903,0.9094311377245509,0.9160058914429206
12,0.2134875188914688,0.19590764069708727,0.917741935483871,0.9217814371257484,0.9197616863048097
13,0.19463206988777287,0.17517753621026622,0.9330645161290323,0.9236526946107785,0.9283586053699053
14,0.19521427640344396,0.18372533426193868,0.930241935483871,0.9217814371257484,0.9260116863048098
15,0.18562200153346237,0.1807566653873961,0.9258064516129032,0.9210329341317365,0.9234196928723198
16,0.18743507186353717,0.33051173527867106,0.8580645161290322,0.8488023952095808,0.8534334556693065
17,0.1865340820344153,0.17736986538363717,0.9334677419354839,0.9240269461077845,0.9287473440216342
18,0.19141421283593268,0.18878619366530644,0.932258064516129,0.9187874251497006,0.9255227448329149
19,0.1869861016357098,0.1889086028529426,0.9326612903225806,0.9210329341317365,0.9268471122271585
20,0.1679694304876907,0.18259677208833774,0.9306451612903226,0.9221556886227545,0.9264004249565385
21,0.1674332000590398,0.1808452536746607,0.9338709677419355,0.9225299401197605,0.9282004539308479
22,0.16764713728070516,0.18572439992074238,0.9306451612903226,0.9202844311377245,0.9254647962140236
23,0.16641641707345045,0.20745546168695062,0.9314516129032258,0.9187874251497006,0.9251195190264632
24,0.17325986242141153,0.18333726515204218,0.930241935483871,0.9229041916167665,0.9265730635503188
25,0.16534124196724412,0.18459649844947507,0.9306451612903226,0.9210329341317365,0.9258390477110295
26,0.16138946331989587,0.19911079891657424,0.9290322580645162,0.9180389221556886,0.9235355901101023
27,0.1604758355012702,0.18204836951474013,0.9290322580645162,0.9214071856287425,0.9252197218466294
