pct_labels,n_samples,acc_hc_vs_pd,acc_pd_vs_dd,acc_combined,precision_hc,recall_hc,f1_hc,precision_pd,recall_pd,f1_pd,val_cse,best_epoch
5,747,0.8052,0.8046,0.8049,0.8048,0.8052,0.8044,0.8138,0.8046,0.8022,0.4319,27
10,1494,0.8762,0.8612,0.8687,0.8815,0.8762,0.8745,0.8662,0.8612,0.8602,0.3710,46
20,2987,0.9222,0.8982,0.9102,0.9249,0.9222,0.9216,0.9025,0.8982,0.8977,0.2396,23
50,7466,0.9270,0.9169,0.9220,0.9302,0.9270,0.9264,0.9219,0.9169,0.9165,0.1911,27
70,10453,0.9234,0.9210,0.9222,0.9269,0.9234,0.9227,0.9296,0.9210,0.9204,0.1823,16
100,14932,0.9335,0.9240,0.9287,0.9396,0.9335,0.9327,0.9331,0.9240,0.9234,0.1774,17
