pct_labels,n_samples,acc_hc_vs_pd,acc_pd_vs_dd,acc_combined,precision_hc,recall_hc,f1_hc,precision_pd,recall_pd,f1_pd,val_cse,best_epoch
5,1282,0.6564,0.6629,0.6597,0.6565,0.6564,0.6564,0.6631,0.6629,0.6627,0.7025,42
10,2564,0.7865,0.7475,0.7670,0.7924,0.7865,0.7862,0.7479,0.7475,0.7475,0.4842,29
20,5128,0.8280,0.8148,0.8214,0.8285,0.8280,0.8280,0.8217,0.8148,0.8139,0.4015,43
50,12820,0.8905,0.8834,0.8870,0.8921,0.8905,0.8902,0.8955,0.8834,0.8826,0.2925,45
70,17948,0.9100,0.9048,0.9074,0.9113,0.9100,0.9097,0.9099,0.9048,0.9046,0.2443,50
100,25640,0.9412,0.9390,0.9401,0.9458,0.9412,0.9409,0.9433,0.9390,0.9389,0.1502,44
