epoch,accuracy,precision,recall,f1
1,0.7407582938388626,0.7413488122473665,0.7407582938388626,0.7398967880279501
2,0.7668246445497631,0.7697872533408476,0.7668246445497631,0.7652440834794777
3,0.8236966824644549,0.8365827764434622,0.8236966824644549,0.820964846270516
4,0.7827014218009478,0.7871611594510186,0.7827014218009478,0.7809006659024397
5,0.8417061611374408,0.841680352026288,0.8417061611374408,0.841688522646597
6,0.8604265402843602,0.8622024255132716,0.8604265402843602,0.860485073628093
7,0.745260663507109,0.7504599608636282,0.745260663507109,0.7424832533814925
8,0.8627962085308057,0.8902404279722557,0.8627962085308057,0.8593673140040334
9,0.8265402843601896,0.846815973039078,0.8265402843601896,0.8227488256881487
10,0.821563981042654,0.8227315542222887,0.821563981042654,0.8210277375022941
11,0.7872037914691943,0.7890087131777737,0.7872037914691943,0.7872883090745005
12,0.816350710900474,0.8182163634306154,0.816350710900474,0.816422774927645
13,0.885308056872038,0.8899898918767847,0.885308056872038,0.8846220052310891
14,0.8808056872037915,0.8808558360204076,0.8808056872037915,0.8807390043252574
15,0.8466824644549763,0.8466928959525697,0.8466824644549763,0.8466872518069759
16,0.8675355450236967,0.8679880491042484,0.8675355450236967,0.8675922109759965
17,0.890521327014218,0.8906147432644933,0.890521327014218,0.8905438127923815
18,0.8824644549763033,0.9023693212625018,0.8824644549763033,0.8803096872348135
19,0.9059241706161137,0.9202833033594443,0.9059241706161137,0.904673259011526
20,0.8890995260663507,0.9039716682048698,0.8890995260663507,0.8875152368507888
21,0.8836492890995261,0.883724520905279,0.8836492890995261,0.8835769024080246
22,0.8990521327014218,0.9022736965695627,0.8990521327014218,0.8986085027101947
23,0.9016587677725119,0.9150636655035845,0.9016587677725119,0.9004066986331952
24,0.9023696682464455,0.9054966581601653,0.9023696682464455,0.901953606155478
25,0.8997630331753554,0.903029173860712,0.8997630331753554,0.8993191642772749
26,0.888388625592417,0.9037751560854028,0.888388625592417,0.8867475705390584
27,0.878436018957346,0.8784381466766411,0.878436018957346,0.8783895506314618
28,0.8976303317535546,0.8984812190132181,0.8976303317535546,0.8974409551038206
29,0.8971563981042654,0.901724122428349,0.8971563981042654,0.8965726348916576
30,0.8834123222748815,0.8887440583038074,0.8834123222748815,0.8826410610774243
31,0.8971563981042654,0.8973840950843516,0.8971563981042654,0.8970629255016999
32,0.9208530805687204,0.9301139874591227,0.9208530805687204,0.9201350117959111
33,0.8827014218009479,0.8827357154816378,0.8827014218009479,0.8826429405340177
34,0.9291469194312796,0.9342425024315173,0.9291469194312796,0.9287474094020829
35,0.8954976303317536,0.8954904498586047,0.8954976303317536,0.8954718116908579
36,0.9277251184834123,0.9342565084377309,0.9277251184834123,0.927232239768885
37,0.928436018957346,0.9353528013896228,0.928436018957346,0.9279271715925945
38,0.906872037914692,0.907093347426948,0.906872037914692,0.9067923304418625
39,0.9265402843601895,0.9326885000289011,0.9265402843601895,0.9260602667424535
40,0.8976303317535546,0.9001779823860585,0.8976303317535546,0.8972466404711896
