epoch,accuracy,precision,recall,f1
1,0.5612903225806452,0.3150468262226847,0.5612903225806452,0.40357238069848045
2,0.9092741935483871,0.9218983781195763,0.9092741935483871,0.9074347368436843
3,0.9358870967741936,0.9409098614418481,0.9358870967741936,0.9352112717274008
4,0.9354838709677419,0.9421350182906552,0.9354838709677419,0.93467686279748
5,0.9225806451612903,0.9282661680154477,0.9225806451612903,0.9216614604249281
6,0.9350806451612903,0.9418108551606671,0.9350806451612903,0.9342616286172888
7,0.9354838709677419,0.9417692405934102,0.9354838709677419,0.9347043065070169
8,0.9254032258064516,0.93415427414241,0.9254032258064516,0.9242616120918191
9,0.9310483870967742,0.9330086796918299,0.9310483870967742,0.9306121453883788
10,0.9354838709677419,0.9405753565924965,0.9354838709677419,0.9347973303530195
11,0.9354838709677419,0.939657068187693,0.9354838709677419,0.934873342095429
12,0.9306451612903226,0.9317067719184855,0.9306451612903226,0.9303222335530703
13,0.9350806451612903,0.9394639474390957,0.9350806451612903,0.934447501187884
14,0.9286290322580645,0.9299325456317309,0.9286290322580645,0.9282582160740925
15,0.9282258064516129,0.9291901755934661,0.9282258064516129,0.9279024476220024
16,0.9330645161290323,0.9346364497422721,0.9330645161290323,0.9326902407294969
