epoch,accuracy,precision,recall,f1
1,0.5980538922155688,0.6246660433994542,0.5980538922155688,0.5627980733470284
2,0.9098053892215568,0.9226486454898849,0.9098053892215568,0.9087423374228167
3,0.9232784431137725,0.9323322745874449,0.9232784431137725,0.9226154387067763
4,0.9255239520958084,0.9338792938006641,0.9255239520958084,0.9249228912208963
5,0.9266467065868264,0.9349389689115302,0.9266467065868264,0.9260598456105612
6,0.9270209580838323,0.9346855101148484,0.9270209580838323,0.9264722703985224
7,0.9262724550898204,0.9352183578971178,0.9262724550898204,0.9256459838892247
8,0.9273952095808383,0.9360843820380629,0.9273952095808383,0.9267938621449342
9,0.9195359281437125,0.9233128694856866,0.9195359281437125,0.9191741740108115
10,0.9258982035928144,0.933270735281607,0.9258982035928144,0.9253560530145494
11,0.9202844311377245,0.9244481670888135,0.9202844311377245,0.9199002127964351
12,0.9165419161676647,0.9201569716688647,0.9165419161676647,0.9161755210156378
13,0.9247754491017964,0.9323842805946347,0.9247754491017964,0.9242098787184769
14,0.9146706586826348,0.9169375425728266,0.9146706586826348,0.9144004122733447
15,0.9165419161676647,0.9199230830602234,0.9165419161676647,0.9161928690295916
16,0.9165419161676647,0.9196972436906865,0.9165419161676647,0.9162098292527959
