epoch,train_loss,val_loss,train_accuracy,train_precision_avg,train_recall_avg,train_f1_avg,train_precision_per_class,train_recall_per_class,train_f1_per_class,train_support_per_class,train_confusion_matrix,val_accuracy,val_precision_avg,val_recall_avg,val_f1_avg,val_precision_per_class,val_recall_per_class,val_f1_per_class,val_support_per_class,val_confusion_matrix
1,0.5587199790100766,0.34013517099921986,0.6786439301664636,0.6915406082508774,0.6786439301664636,0.6571672985625707,0.730231|0.661773,0.413866|0.882364,0.528308|0.756312,4284|5568,1773|2511|655|4913,0.7911341853035144,0.7904780054218215,0.7911341853035144,0.7904455767738159,0.772947|0.803948,0.735294|0.834040,0.753650|0.818718,1088|1416,800|288|235|1181
2,0.3442470294415441,0.5832604409779533,0.8385099472188389,0.8528567533147661,0.8385099472188389,0.8337919172801209,0.924629|0.797635,0.684407|0.957076,0.786586|0.870112,4284|5568,2932|1352|239|5329,0.7927316293929713,0.7921168210946591,0.7927316293929713,0.7921641748630412,0.772771|0.806982,0.740809|0.832627,0.756452|0.819604,1088|1416,806|282|237|1179
3,0.3051065588608766,0.24832110359507092,0.860231425091352,0.876220106574757,0.860231425091352,0.8562036823682085,0.956932|0.814121,0.710551|0.975395,0.815539|0.887491,4284|5568,3044|1240|137|5431,0.8722044728434505,0.8957612520428145,0.8722044728434505,0.867674699650872,1.000000|0.815668,0.705882|1.000000,0.827586|0.898477,1088|1416,768|320|0|1416
4,0.2627100659231854,0.20885353308107893,0.8883475436459602,0.8985397052268568,0.8883475436459602,0.8861285471635438,0.964682|0.847650,0.771475|0.978269,0.857328|0.908287,4284|5568,3305|979|121|5447,0.8965654952076677,0.9117002751217073,0.8965654952076677,0.8940026189341957,0.996407|0.846615,0.764706|0.997881,0.865315|0.916045,1088|1416,832|256|3|1413
5,0.2700826762260025,0.23777767333943964,0.8959602111246447,0.902359266542521,0.8959602111246447,0.8944300372883628,0.953773|0.862801,0.799486|0.970187,0.869841|0.913349,4284|5568,3425|859|166|5402,0.880591054313099,0.8813118829428239,0.880591054313099,0.8799038033150431,0.893320|0.872085,0.823529|0.924435,0.857006|0.897497,1088|1416,896|192|107|1309
6,0.24136984762218264,0.18748707134844894,0.902557856272838,0.9084977943051477,0.902557856272838,0.9012176069345283,0.958609|0.869942,0.810924|0.973060,0.878604|0.918616,4284|5568,3474|810|150|5418,0.9217252396166135,0.9303786681680605,0.9217252396166135,0.9204604858697496,0.995556|0.880299,0.823529|0.997175,0.901408|0.935099,1088|1416,896|192|4|1412
7,0.20731872027246362,0.18075468757395016,0.9195087291920422,0.924729346086717,0.9195087291920422,0.918542255512811,0.973420|0.887267,0.837768|0.982399,0.900514|0.932413,4284|5568,3589|695|98|5470,0.9341054313099042,0.9402534947445728,0.9341054313099042,0.9332739954021971,0.995704|0.897648,0.852022|0.997175,0.918276|0.944798,1088|1416,927|161|4|1412
8,0.19284999867280325,0.16947027725183358,0.9246853430775477,0.9312351466958058,0.9246853430775477,0.9236708072361874,0.987342|0.888067,0.837535|0.991739,0.906289|0.937044,4284|5568,3588|696|46|5522,0.9341054313099042,0.9400780629725615,0.9341054313099042,0.9332882340298244,0.994641|0.898154,0.852941|0.996469,0.918357|0.944761,1088|1416,928|160|5|1411
9,0.19921264494968277,0.26177093285625264,0.9252943564758425,0.9308923472726607,0.9252943564758425,0.9243791405047621,0.982327|0.891318,0.843371|0.988326,0.907561|0.937319,4284|5568,3613|671|65|5503,0.889776357827476,0.889749612188231,0.889776357827476,0.8894821228546205,0.888889|0.890411,0.852941|0.918079,0.870544|0.904033,1088|1416,928|160|116|1300
10,0.18766754327548874,0.16228818413564713,0.9274259033698742,0.9332456272198318,0.9274259033698742,0.9265229436937638,0.986107|0.892574,0.845005|0.990841,0.910119|0.939144,4284|5568,3620|664|51|5517,0.935702875399361,0.942085155421836,0.935702875399361,0.9348776067908249,0.998924|0.898413,0.852941|0.999294,0.920178|0.946172,1088|1416,928|160|1|1415
11,0.18683385263141403,0.21156577690173003,0.9277304100690216,0.9335387685972456,0.9277304100690216,0.9268332155055663,0.986383|0.892880,0.845472|0.991020,0.910508|0.939394,4284|5568,3622|662|50|5518,0.9321086261980831,0.9375904646072482,0.9321086261980831,0.9313029015074586,0.989339|0.897829,0.852941|0.992938,0.916091|0.942991,1088|1416,928|160|10|1406
12,0.18308345903443474,0.17167100007251157,0.9307754770604953,0.9369530998026091,0.9307754770604953,0.9298932581264306,0.992077|0.894541,0.847572|0.994792,0.914149|0.942007,4284|5568,3631|653|29|5539,0.9349041533546326,0.9410797034481573,0.9349041533546326,0.9340827954579282,0.996778|0.898284,0.852941|0.997881,0.919267|0.945467,1088|1416,928|160|3|1413
13,0.17989517713331768,0.16449526204901227,0.9313844904587901,0.9373604766827475,0.9313844904587901,0.9305289049529286,0.991553|0.895665,0.849440|0.994432,0.915011|0.942468,4284|5568,3639|645|31|5537,0.9345047923322684,0.9405784084258882,0.9345047923322684,0.9336854837183168,0.995708|0.898219,0.852941|0.997175,0.918812|0.945114,1088|1416,928|160|4|1412
14,0.18139681812280264,0.18425724087125164,0.9305724725943971,0.9360895204424827,0.9305724725943971,0.9297444551470087,0.987805|0.896300,0.850840|0.991918,0.914221|0.941688,4284|5568,3645|639|45|5523,0.9297124600638977,0.9340307349183868,0.9297124600638977,0.9289799034931351,0.978992|0.899485,0.856618|0.985876,0.913725|0.940701,1088|1416,932|156|20|1396
15,0.17517848365390912,0.16077930934853474,0.9327040194884287,0.9386144883919841,0.9327040194884287,0.9318740817633666,0.992653|0.897037,0.851541|0.995151,0.916698|0.943550,4284|5568,3648|636|27|5541,0.9341054313099042,0.9400780629725615,0.9341054313099042,0.9332882340298244,0.994641|0.898154,0.852941|0.996469,0.918357|0.944761,1088|1416,928|160|5|1411
16,0.19169643938414052,0.16370689426943408,0.9264108810393828,0.931772789348293,0.9264108810393828,0.9255352101922991,0.982119|0.893037,0.846172|0.988147,0.909091|0.938187,4284|5568,3625|659|66|5502,0.9345047923322684,0.9405784084258882,0.9345047923322684,0.9336854837183168,0.995708|0.898219,0.852941|0.997175,0.918812|0.945114,1088|1416,928|160|4|1412
17,0.17379889770960197,0.16501306805570246,0.9342265529841657,0.940210237475673,0.9342265529841657,0.9334135980317578,0.994829|0.898187,0.853175|0.996588,0.918573|0.944832,4284|5568,3655|629|19|5549,0.9293130990415336,0.9334044376354176,0.9293130990415336,0.928597617483816,0.976963|0.899935,0.857537|0.984463,0.913363|0.940304,1088|1416,933|155|22|1394
18,0.17735074705675116,0.20379643723116084,0.9334145351197727,0.9394595244335582,0.9334145351197727,0.932584262794558,0.994278|0.897282,0.851774|0.996228,0.917526|0.944170,4284|5568,3649|635|21|5547,0.9273162939297125,0.9311459822046557,0.9273162939297125,0.9266022002155526,0.972860|0.899094,0.856618|0.981638,0.911046|0.938555,1088|1416,932|156|26|1390
19,0.17923065902203575,0.17282756190683882,0.9326025172553796,0.9385756444570582,0.9326025172553796,0.931765807718674,0.992919|0.896764,0.851074|0.995330,0.916541|0.943480,4284|5568,3646|638|26|5542,0.9333067092651757,0.9389107079780893,0.9333067092651757,0.9325081331320164,0.991462|0.898532,0.853860|0.994350,0.917531|0.944016,1088|1416,929|159|8|1408
20,0.1700826585929618,0.16882847539954265,0.9348355663824605,0.9407954471686037,0.9348355663824605,0.9340336922092499,0.995375|0.898802,0.854108|0.996947,0.919347|0.945334,4284|5568,3659|625|17|5551,0.9349041533546326,0.9410797034481573,0.9349041533546326,0.9340827954579282,0.996778|0.898284,0.852941|0.997881,0.919267|0.945467,1088|1416,928|160|3|1413
