number,value,datetime_start,datetime_complete,duration,params_batch_size,params_d_ff,params_dropout,params_learning_rate,params_model_dim,params_num_heads,params_num_layers,params_weight_decay,state
0,0.9293197015512451,2026-03-31 00:16:15.843054,2026-03-31 00:21:47.066962,0 days 00:05:31.223908,32,512,0.34044600469728353,0.0002607024758370766,64,4,2,1.1527987128232396e-05,COMPLETE
1,0.8730409690980161,2026-03-31 00:21:47.104717,2026-03-31 00:33:15.311151,0 days 00:11:28.206434,32,256,0.21685785941408728,5.4041038546473305e-05,64,8,3,0.00023345864076016249,COMPLETE
2,0.6286834902606715,2026-03-31 00:33:15.339514,2026-03-31 00:37:12.757874,0 days 00:03:57.418360,128,256,0.2218455076693483,1.5679933916722995e-05,32,4,2,0.0011290133559092666,COMPLETE
3,0.8028508124984635,2026-03-31 00:37:12.783247,2026-03-31 00:40:20.258025,0 days 00:03:07.474778,128,256,0.48783385110582345,0.0003550304858128307,64,8,2,0.006584106160121612,PRUNED
4,0.7853168457195303,2026-03-31 00:40:20.283038,2026-03-31 00:43:26.272695,0 days 00:03:05.989657,128,256,0.2123738038749523,0.00012172847081122418,64,8,3,2.6471141828218167e-05,PRUNED
5,0.5827940236497283,2026-03-31 00:43:26.416121,2026-03-31 00:47:50.474035,0 days 00:04:24.057914,32,256,0.24338629141770907,1.70505392602693e-05,32,8,4,0.0038842777547031426,PRUNED
6,0.7834494923421098,2026-03-31 00:47:50.497526,2026-03-31 00:52:51.424133,0 days 00:05:00.926607,64,512,0.40431401944675904,0.0001326033192269654,64,4,4,0.002055424552015075,PRUNED
7,0.9158000835853185,2026-03-31 00:52:51.445205,2026-03-31 01:00:06.599147,0 days 00:07:15.153942,64,256,0.2641531692142519,0.0003244160088734161,64,8,2,4.857295179217165e-05,COMPLETE
8,0.7772026165482542,2026-03-31 01:00:06.619634,2026-03-31 01:04:04.123032,0 days 00:03:57.503398,128,256,0.422976062065625,0.0006197015748809143,32,8,4,8.995191735587162e-05,PRUNED
9,0.5754439445714613,2026-03-31 01:04:04.144219,2026-03-31 01:07:13.436798,0 days 00:03:09.292579,128,512,0.47716388156500766,4.4300218067679785e-05,64,8,3,0.0003600575029200903,PRUNED
10,0.9221760249444813,2026-03-31 01:07:13.458427,2026-03-31 01:11:57.573723,0 days 00:04:44.115296,32,128,0.12889959688551136,0.00024015639024822514,32,4,2,1.1102070926136297e-05,COMPLETE
11,0.9301970400963689,2026-03-31 01:11:57.595539,2026-03-31 01:16:41.022453,0 days 00:04:43.426914,32,128,0.12869770057568208,0.0009368289725443903,32,4,2,1.1248347702457753e-05,COMPLETE
12,0.8301932500758005,2026-03-31 01:16:41.053526,2026-03-31 01:18:06.441660,0 days 00:01:25.388134,32,128,0.3344554099150775,0.0009903279067812651,32,4,2,1.1411929524343597e-05,PRUNED
13,0.9299045939146611,2026-03-31 01:18:06.462066,2026-03-31 01:22:48.289787,0 days 00:04:41.827721,32,128,0.13112161821083862,0.0009402676728604152,32,4,2,2.614055812500447e-05,COMPLETE
14,0.9296121477329531,2026-03-31 01:22:48.310427,2026-03-31 01:29:26.173506,0 days 00:06:37.863079,32,128,0.10525612628712333,0.0008524636948952184,32,4,3,0.0001069566786572661,COMPLETE
15,0.9135148036154748,2026-03-31 01:29:26.194519,2026-03-31 01:34:44.702289,0 days 00:05:18.507770,32,128,0.14450813274878302,0.0005185399960266272,32,4,3,3.798895757932489e-05,PRUNED
16,0.869886033057174,2026-03-31 01:34:44.722391,2026-03-31 01:37:05.877583,0 days 00:02:21.155192,32,128,0.15663369666094049,0.0005803494783023432,32,4,2,2.8032596760651462e-05,PRUNED
17,0.811186296924552,2026-03-31 01:37:05.897966,2026-03-31 01:38:19.469031,0 days 00:01:13.571065,64,128,0.17768378115986816,0.0001937500860164639,32,4,2,0.00025605726422760113,PRUNED
18,0.6459070850849374,2026-03-31 01:38:19.488103,2026-03-31 01:39:44.064447,0 days 00:01:24.576344,32,128,0.2926879192483024,4.371993126708945e-05,32,4,2,9.874928393918374e-05,PRUNED
19,0.9296121477329531,2026-03-31 01:39:44.083126,2026-03-31 01:46:14.935472,0 days 00:06:30.852346,32,128,0.10459645599410675,0.0004505413146245724,32,4,3,0.000613664973114878,COMPLETE
20,0.7466687234334293,2026-03-31 01:46:14.971851,2026-03-31 01:48:00.562019,0 days 00:01:45.590168,64,128,0.1873064153189613,6.613644475520927e-05,32,4,3,2.0074174243911435e-05,PRUNED
21,0.9308312765665707,2026-03-31 01:48:00.581095,2026-03-31 01:55:24.835415,0 days 00:07:24.254320,32,128,0.10629447324286183,0.0008515550406805383,32,4,3,9.551251490953598e-05,COMPLETE
22,0.9313968874262992,2026-03-31 01:55:24.870593,2026-03-31 02:03:57.273417,0 days 00:08:32.402824,32,128,0.1425360206020092,0.0008062519464870292,32,4,4,6.370466964405917e-05,COMPLETE
