epoch,train_loss,val_loss,train_accuracy,train_precision_avg,train_recall_avg,train_f1_avg,train_precision_per_class,train_recall_per_class,train_f1_per_class,train_support_per_class,train_confusion_matrix,val_accuracy,val_precision_avg,val_recall_avg,val_f1_avg,val_precision_per_class,val_recall_per_class,val_f1_per_class,val_support_per_class,val_confusion_matrix
1,0.5845793173578617,0.37400803449800457,0.6497933884297521,0.6617884289623785,0.6497933884297521,0.636934757345999,0.626994|0.700272,0.822425|0.458861,0.711534|0.554427,5592|5056,4599|993|2736|2320,0.812125748502994,0.8124037117473494,0.812125748502994,0.8118530533868971,0.806474|0.818852,0.841236|0.780469,0.823488|0.799200,1392|1280,1171|221|281|999
2,0.36709234702382915,0.2984375512953532,0.8237227648384673,0.8364766830624905,0.8237227648384673,0.8208705017608788,0.777695|0.901490,0.930258|0.705894,0.847162|0.791791,5592|5056,5202|390|1487|3569,0.8641467065868264,0.8912131897503169,0.8641467065868264,0.8608594863905746,0.794168|0.996750,0.997845|0.718750,0.884432|0.835225,1392|1280,1389|3|360|920
3,0.3278805586236192,0.324578130523027,0.8536814425244177,0.8628542761563558,0.8536814425244177,0.8520013189017703,0.810977|0.920231,0.940629|0.757516,0.871005|0.830983,5592|5056,5260|332|1226|3830,0.8510479041916168,0.8573302275682326,0.8510479041916168,0.84985621710716,0.814557|0.903846,0.924569|0.771094,0.866083|0.832209,1392|1280,1287|105|293|987
4,0.29936606740096394,0.3283182167905872,0.8672051089406462,0.8754814426179813,0.8672051089406462,0.8658496608354762,0.825187|0.931108,0.947961|0.777888,0.882324|0.847629,5592|5056,5301|291|1123|3933,0.8237275449101796,0.8237043786863092,0.8237275449101796,0.8237130738316375,0.829635|0.817255,0.832615|0.814063,0.831122|0.815656,1392|1280,1159|233|238|1042
5,0.26608696624604744,0.25819663930747466,0.8843914350112697,0.8935511222650627,0.8843914350112697,0.8831811944337074,0.838745|0.954168,0.965486|0.794699,0.897664|0.867163,5592|5056,5399|193|1038|4018,0.8690119760479041,0.8716342853133303,0.8690119760479041,0.8684841656186624,0.844122|0.901554,0.918103|0.815625,0.879560|0.856440,1392|1280,1278|114|236|1044
6,0.25177573663934394,0.24018555778568074,0.8947220135236664,0.9037125815594629,0.8947220135236664,0.8936662822455825,0.848480|0.964800,0.973355|0.807753,0.906638|0.879320,5592|5056,5443|149|972|4084,0.8716317365269461,0.8750593822388714,0.8716317365269461,0.8710130187285315,0.843035|0.909886,0.926006|0.812500,0.882574|0.858440,1392|1280,1289|103|240|1040
7,0.22779844468359772,0.18251997245065235,0.9024229902329076,0.9112857984919868,0.9024229902329076,0.9014751715347215,0.855759|0.972699,0.979256|0.817445,0.913352|0.888340,5592|5056,5476|116|923|4133,0.9251497005988024,0.9345530045436765,0.9251497005988024,0.9244864657924574,0.874372|1.000000,1.000000|0.843750,0.932976|0.915254,1392|1280,1392|0|200|1080
8,0.22097242552571686,0.17871000428321,0.9074004507888805,0.9156492483977343,0.9074004507888805,0.9065596197983197,0.861766|0.975245,0.981044|0.825949,0.917545|0.894410,5592|5056,5486|106|880|4176,0.9244011976047904,0.9331979308089039,0.9244011976047904,0.9237642574364284,0.875158|0.996317,0.997126|0.845313,0.932169|0.914624,1392|1280,1388|4|198|1082
9,0.21027541620860263,0.18574370254399414,0.9098422238918107,0.9180714430183444,0.9098422238918107,0.9090303585943375,0.864036|0.977835,0.983011|0.828916,0.919692|0.897238,5592|5056,5497|95|865|4191,0.9221556886227545,0.9308891917766189,0.9221556886227545,0.9214998294394906,0.873266|0.993554,0.994971|0.842969,0.930154|0.912088,1392|1280,1385|7|201|1079
10,0.19389945054845587,0.1711370833849503,0.9140683696468821,0.9226785013568548,0.9140683696468821,0.9132766909330386,0.866939|0.984327,0.988019|0.832278,0.923527|0.901940,5592|5056,5525|67|848|4208,0.9251497005988024,0.9345530045436765,0.9251497005988024,0.9244864657924574,0.874372|1.000000,1.000000|0.843750,0.932976|0.915254,1392|1280,1392|0|200|1080
