epoch,train_loss,val_loss,train_accuracy,train_precision_avg,train_recall_avg,train_f1_avg,train_precision_per_class,train_recall_per_class,train_f1_per_class,train_support_per_class,train_confusion_matrix,val_accuracy,val_precision_avg,val_recall_avg,val_f1_avg,val_precision_per_class,val_recall_per_class,val_f1_per_class,val_support_per_class,val_confusion_matrix
1,0.5845793173578617,0.37400803449800457,0.6793236127987039,0.6996763265044067,0.6793236127987039,0.6529066101846217,0.754210|0.657898,0.386788|0.903433,0.511341|0.761359,4284|5592,1657|2627|540|5052,0.8209677419354838,0.8208089227968663,0.8209677419354838,0.8208748504125061,0.798701|0.838088,0.791360|0.844109,0.795014|0.841088,1088|1392,861|227|217|1175
2,0.36709234702382915,0.2984375512953532,0.8259416767922235,0.8329614444747673,0.8259416767922235,0.8222985475588278,0.877317|0.798981,0.696078|0.925429,0.776259|0.857569,4284|5592,2982|1302|417|5175,0.8665322580645162,0.8910512828398539,0.8665322580645162,0.8617911137098766,0.996068|0.808969,0.698529|0.997845,0.821178|0.893535,1088|1392,760|328|3|1389
3,0.3278805586236192,0.324578130523027,0.8536857027136493,0.8605675297702912,0.8536857027136493,0.8510022275145877,0.908254|0.824035,0.737162|0.942954,0.813813|0.879493,4284|5592,3158|1126|319|5273,0.8580645161290322,0.8595602091864378,0.8580645161290322,0.8569326760363933,0.877823|0.845286,0.785846|0.914511,0.829292|0.878537,1088|1392,855|233|119|1273
4,0.29936606740096394,0.3283182167905872,0.8672539489671932,0.8729180646342025,0.8672539489671932,0.8651831712320799,0.916971|0.839170,0.763072|0.947067,0.832972|0.889860,4284|5592,3269|1015|296|5296,0.7903225806451613,0.7972229383519707,0.7903225806451613,0.7911113358276873,0.730519|0.849359,0.827206|0.761494,0.775862|0.803030,1088|1392,900|188|332|1060
5,0.26608696624604744,0.25819663930747466,0.886897529364115,0.8937845378831011,0.886897529364115,0.88507841563626,0.946182|0.853643,0.783847|0.965844,0.857398|0.906284,4284|5592,3358|926|191|5401,0.8766129032258064,0.8771708849620974,0.8766129032258064,0.8760006196667608,0.887129|0.869388,0.823529|0.918103,0.854147|0.893082,1088|1392,896|192|114|1278
6,0.25177573663934394,0.24018555778568074,0.8968205751316323,0.9030603443501278,0.8968205751316323,0.895309019598644,0.953850|0.864150,0.800887|0.970315,0.870702|0.914161,4284|5592,3431|853|166|5426,0.8782258064516129,0.8789173132953494,0.8782258064516129,0.8775835572755546,0.890656|0.869742,0.823529|0.920977,0.855778|0.894627,1088|1392,896|192|110|1282
7,0.22779844468359772,0.18251997245065235,0.9103888213851762,0.9167716925721456,0.9103888213851762,0.9091229354392223,0.970124|0.875898,0.818627|0.980687,0.887961|0.925335,4284|5592,3507|777|108|5484,0.9346774193548387,0.9413006146577525,0.9346774193548387,0.9338603235824484,0.998922|0.896263,0.852022|0.999282,0.919643|0.944973,1088|1392,927|161|1|1391
8,0.22097242552571686,0.17871000428321,0.9141352774402592,0.9206874398191705,0.9141352774402592,0.9129198366459338,0.975374|0.878793,0.822829|0.984084,0.892631|0.928463,4284|5592,3525|759|89|5503,0.9334677419354839,0.9395969249962917,0.9334677419354839,0.9326708292364152,0.994641|0.896574,0.852941|0.996408,0.918357|0.943858,1088|1392,928|160|5|1387
9,0.21027541620860263,0.18574370254399414,0.9197043337383556,0.9255545742417471,0.9197043337383556,0.9186611846897164,0.977565|0.885710,0.834034|0.985336,0.900113|0.932871,4284|5592,3573|711|82|5510,0.9334677419354839,0.9394208922927995,0.9334677419354839,0.9326847810526893,0.993583|0.897087,0.853860|0.995690,0.918438|0.943820,1088|1392,929|159|6|1386
10,0.19389945054845587,0.1711370833849503,0.9250708788983394,0.9313566745944863,0.9250708788983394,0.9240743463168377,0.986279|0.889281,0.838936|0.991059,0.906660|0.937415,4284|5592,3594|690|50|5542,0.9350806451612903,0.9416254714947858,0.9350806451612903,0.9342755334384639,0.998924|0.896841,0.852941|0.999282,0.920178|0.945294,1088|1392,928|160|1|1391
11,0.19519200265343745,0.19095678134994992,0.9266909680032401,0.9327228106369403,0.9266909680032401,0.9257447123055073,0.986605|0.891444,0.842437|0.991237,0.908839|0.938696,4284|5592,3609|675|49|5543,0.9350806451612903,0.9416254714947858,0.9350806451612903,0.9342755334384639,0.998924|0.896841,0.852941|0.999282,0.920178|0.945294,1088|1392,928|160|1|1391
