pct_labels,n_samples,acc_hc_vs_pd,acc_pd_vs_dd,acc_combined,precision_hc,recall_hc,f1_hc,precision_pd,recall_pd,f1_pd,val_cse,best_epoch
5,747,0.7536,0.7575,0.7556,0.7528,0.7536,0.7520,0.7587,0.7575,0.7565,0.6939,45
10,1494,0.8839,0.8772,0.8806,0.8861,0.8839,0.8829,0.8796,0.8772,0.8768,0.4109,34
20,2987,0.9145,0.9180,0.9163,0.9233,0.9145,0.9132,0.9258,0.9180,0.9174,0.2297,20
50,7466,0.9347,0.9225,0.9286,0.9411,0.9347,0.9339,0.9318,0.9225,0.9218,0.1710,15
70,10453,0.9310,0.9173,0.9242,0.9366,0.9310,0.9303,0.9242,0.9173,0.9167,0.1997,10
100,14932,0.9351,0.9248,0.9299,0.9416,0.9351,0.9343,0.9341,0.9248,0.9241,0.1702,15
