epoch,accuracy,accuracy_HC,accuracy_PD,accuracy_DD,precision_avg,recall_avg,f1_avg,precision_HC,recall_HC,f1_HC,precision_PD,recall_PD,f1_PD,precision_DD,recall_DD,f1_DD
1,0.565561224489796,0.7852564102564102,0.7966954022988506,0.1,0.5868685806032897,0.565561224489796,0.5065180514171894,0.45944678856071264,0.7852564102564102,0.5797101449275363,0.7081736909323116,0.7966954022988506,0.7498309668695065,0.579185520361991,0.1,0.17055296469020653
2,0.6530612244897959,0.6434294871794872,0.8297413793103449,0.4703125,0.6486837611664131,0.6530612244897959,0.6472876344142393,0.5752148997134671,0.6434294871794872,0.6074130105900152,0.7618733509234829,0.8297413793103449,0.7943603851444292,0.5972222222222222,0.4703125,0.5262237762237763
3,0.7293367346938775,0.4807692307692308,0.9985632183908046,0.67890625,0.7465678877154392,0.7293367346938775,0.7138901940450277,0.8241758241758241,0.4807692307692308,0.6072874493927125,0.6981416373681567,0.9985632183908046,0.8217558380135974,0.723563696919234,0.67890625,0.7005239822652156
4,0.7719387755102041,0.6794871794871795,0.9978448275862069,0.61640625,0.7832088951600906,0.7719387755102041,0.7636627860312117,0.773017319963537,0.6794871794871795,0.7232409381663113,0.734920634920635,0.9978448275862069,0.8464351005484461,0.8456591639871383,0.61640625,0.7130591956619973
5,0.7877551020408163,0.6714743589743589,0.9956896551724138,0.675,0.796193002716749,0.7877551020408163,0.7810449573117272,0.825615763546798,0.6714743589743589,0.7406098099867433,0.7495943753380205,0.9956896551724138,0.8552915766738661,0.8181818181818182,0.675,0.7397260273972602
6,0.8127551020408164,0.6706730769230769,1.0,0.74765625,0.820643498381732,0.8127551020408164,0.8071376781693912,0.8736951983298539,0.6706730769230769,0.7588395285584769,0.7793952967525196,1.0,0.8760226557583386,0.8137755102040817,0.74765625,0.7793159609120521
7,0.8104591836734694,0.6971153846153846,0.9978448275862069,0.7171875,0.8178890300816545,0.8104591836734694,0.8052337067222295,0.8761329305135952,0.6971153846153846,0.7764390896921017,0.7772803581421377,0.9978448275862069,0.8738597043095313,0.8052631578947368,0.7171875,0.7586776859504132
8,0.763265306122449,0.6386217948717948,0.9166666666666666,0.71796875,0.773593243249711,0.763265306122449,0.7597853238214243,0.8681917211328976,0.6386217948717948,0.7359187442289935,0.747072599531616,0.9166666666666666,0.8232258064516129,0.7102009273570324,0.71796875,0.714063714063714
9,0.8204081632653061,0.6931089743589743,1.0,0.74921875,0.8319425130052528,0.8204081632653061,0.81591513746634,0.9143763213530656,0.6931089743589743,0.7885141294439381,0.7763524818739542,1.0,0.8740973312401884,0.8120237087214225,0.74921875,0.7793579845591223
10,0.825765306122449,0.6490384615384616,0.9949712643678161,0.8140625,0.8490062207491479,0.825765306122449,0.8212694610969733,0.9902200488997555,0.6490384615384616,0.7841239109390126,0.7772166105499438,0.9949712643678161,0.872715816005041,0.7893939393939394,0.8140625,0.8015384615384615
11,0.8329081632653061,0.717948717948718,0.9992816091954023,0.7640625,0.8410153189863222,0.8329081632653061,0.8289540975454497,0.9005025125628141,0.717948717948718,0.7989300044583147,0.7930444697833523,0.9992816091954023,0.8842975206611571,0.8351836037574722,0.7640625,0.7980416156670747
12,0.8428571428571429,0.6674679487179487,1.0,0.84296875,0.8644924850229149,0.8428571428571429,0.8387911132352271,1.0,0.6674679487179487,0.8005766458433445,0.7936145952109465,1.0,0.8849332485696122,0.8094523630907727,0.84296875,0.8258706467661692
13,0.8346938775510204,0.6682692307692307,1.0,0.8171875,0.8578637615783673,0.8346938775510204,0.8309065373465616,1.0,0.6682692307692307,0.8011527377521613,0.7793952967525196,1.0,0.8760226557583386,0.8046153846153846,0.8171875,0.8108527131782945
14,0.7714285714285715,0.6618589743589743,0.8326149425287356,0.81171875,0.777719024627149,0.7714285714285715,0.7700012073334659,0.8402848423194303,0.6618589743589743,0.7404751232631107,0.7630019749835418,0.8326149425287356,0.7962899347303333,0.732722143864598,0.81171875,0.7702001482579689
15,0.8479591836734693,0.6923076923076923,0.9942528735632183,0.840625,0.8673152447044009,0.8479591836734693,0.8449419183179441,0.9953917050691244,0.6923076923076923,0.8166351606805293,0.7935779816513762,0.9942528735632183,0.8826530612244898,0.8226299694189603,0.840625,0.8315301391035549
16,0.8403061224489796,0.6666666666666666,0.9935344827586207,0.84296875,0.8606502872768386,0.8403061224489796,0.8362862651629873,0.9904761904761905,0.6666666666666666,0.7969348659003831,0.7930045871559633,0.9935344827586207,0.8820153061224489,0.8076347305389222,0.84296875,0.8249235474006116
