epoch,accuracy,accuracy_HC,accuracy_PD,accuracy_DD,precision_avg,recall_avg,f1_avg,precision_HC,recall_HC,f1_HC,precision_PD,recall_PD,f1_PD,precision_DD,recall_DD,f1_DD
1,0.610969387755102,0.6426282051282052,0.9166666666666666,0.24765625,0.6212558288369803,0.610969387755102,0.5756213749693739,0.52832674571805,0.6426282051282052,0.5798987707881417,0.6621691748832382,0.9166666666666666,0.768906297077433,0.6673684210526316,0.24765625,0.36125356125356123
2,0.625,0.358974358974359,0.8354885057471264,0.65546875,0.6162742679237524,0.625,0.6087986061614002,0.5773195876288659,0.358974358974359,0.4426877470355731,0.6683908045977012,0.8354885057471264,0.7426564495530013,0.5975783475783476,0.65546875,0.6251862891207154
3,0.7112244897959183,0.6402243589743589,0.9173850574712644,0.55625,0.7384416835482057,0.7112244897959183,0.7051210976109564,0.727024567788899,0.6402243589743589,0.6808691947166595,0.6426774031202819,0.9173850574712644,0.7558449245338857,0.8537170263788969,0.55625,0.67360454115421
4,0.7528061224489796,0.5136217948717948,1.0,0.7171875,0.8078572173904858,0.7528061224489796,0.7430168285705953,0.9968895800933126,0.5136217948717948,0.6779481755684823,0.6615969581749049,1.0,0.7963386727688787,0.782608695652174,0.7171875,0.748471259682022
5,0.6788265306122448,0.5112179487179487,0.6896551724137931,0.83046875,0.7094340914893633,0.6788265306122448,0.6757377416956615,0.8148148148148148,0.5112179487179487,0.6282619399310685,0.7317073170731707,0.6896551724137931,0.7100591715976331,0.5824657534246576,0.83046875,0.6847020933977456
6,0.815561224489796,0.6121794871794872,1.0,0.81328125,0.8340652358544447,0.815561224489796,0.8086530722553202,0.9514321295143213,0.6121794871794872,0.7450024378352024,0.7945205479452054,1.0,0.8854961832061069,0.7626373626373626,0.81328125,0.7871455576559546
7,0.8229591836734694,0.6346153846153846,0.9992816091954023,0.81484375,0.8487818066222783,0.8229591836734694,0.8178395229617124,1.0,0.6346153846153846,0.7764705882352941,0.7779642058165548,0.9992816091954023,0.8748427672955975,0.7783582089552239,0.81484375,0.7961832061068702
8,0.8247448979591837,0.6402243589743589,1.0,0.8140625,0.8501447662242582,0.8247448979591837,0.8198455292904038,1.0,0.6402243589743589,0.7806546165119688,0.7776536312849162,1.0,0.8749214330609679,0.782870022539444,0.8140625,0.7981616238988893
9,0.8339285714285715,0.6410256410256411,0.9978448275862069,0.84375,0.8576012980042541,0.8339285714285715,0.8288408513041132,1.0,0.6410256410256411,0.78125,0.7941680960548885,0.9978448275862069,0.8844317096466093,0.787746170678337,0.84375,0.8147868728781592
10,0.8150510204081632,0.782051282051282,0.9992816091954023,0.646875,0.822547781517876,0.8150510204081632,0.8087791765237557,0.7941415785191213,0.782051282051282,0.7880500605571256,0.7944031981724728,0.9992816091954023,0.885141584473433,0.8808510638297873,0.646875,0.745945945945946
11,0.7676020408163265,0.4831730769230769,0.9913793103448276,0.8015625,0.7938068248463455,0.7676020408163265,0.7535184349344335,0.9178082191780822,0.4831730769230769,0.6330708661417322,0.7931034482758621,0.9913793103448276,0.8812260536398467,0.6736703873933026,0.8015625,0.7320727791651802
12,0.8183673469387756,0.6410256410256411,0.9827586206896551,0.8125,0.8355068400986768,0.8183673469387756,0.8134053352380273,0.9523809523809523,0.6410256410256411,0.7662835249042146,0.7916666666666666,0.9827586206896551,0.8769230769230769,0.7692307692307693,0.8125,0.790273556231003
13,0.8232142857142857,0.6394230769230769,0.9985632183908046,0.81171875,0.839756991108925,0.8232142857142857,0.8175297866577741,0.9511323003575686,0.6394230769230769,0.7647340680402491,0.7942857142857143,0.9985632183908046,0.8847867600254615,0.7806160781367393,0.81171875,0.795863653772501
14,0.8346938775510204,0.6410256410256411,1.0,0.84375,0.8582905404411224,0.8346938775510204,0.8295202674367871,1.0,0.6410256410256411,0.78125,0.7945205479452054,1.0,0.8854961832061069,0.7894736842105263,0.84375,0.8157099697885196
15,0.8306122448979592,0.6650641025641025,0.9942528735632183,0.8140625,0.8531991531818288,0.8306122448979592,0.8268247939096272,0.992822966507177,0.6650641025641025,0.7965451055662188,0.77665544332211,0.9942528735632183,0.8720856962822936,0.8003072196620584,0.8140625,0.8071262587141751
16,0.8420918367346939,0.6658653846153846,1.0,0.8421875,0.8634092395820346,0.8420918367346939,0.8379230750444178,0.9975990396158463,0.6658653846153846,0.798654493032196,0.7945205479452054,1.0,0.8854961832061069,0.8074906367041198,0.8421875,0.8244741873804972
17,0.8428571428571429,0.6666666666666666,1.0,0.84375,0.8644650871586433,0.8428571428571429,0.8387478114713917,1.0,0.6666666666666666,0.8,0.7945205479452054,1.0,0.8854961832061069,0.8083832335329342,0.84375,0.8256880733944955
