epoch,train_loss,val_loss,val_acc_hc,val_acc_pd,val_acc_combined
1,0.44409765255272515,0.3359016305056669,0.8129032258064516,0.8532934131736527,0.8330983194900521
2,0.34405373371898235,0.27724977809998946,0.8834677419354838,0.876122754491018,0.879795248213251
3,0.2942698703364846,0.2431744075680183,0.9060483870967742,0.8839820359281437,0.895015211512459
4,0.26112037177977393,0.5436972744636617,0.8104838709677419,0.8214820359281437,0.8159829534479428
5,0.2521286587563904,0.21490761265158653,0.9209677419354839,0.9049401197604791,0.9129539308479815
6,0.22759752343279135,0.19383832117763616,0.9213709677419355,0.9079341317365269,0.9146525497392313
7,0.22107287725270178,0.2704940674416089,0.9217741935483871,0.8663922155688623,0.8940832045586247
8,0.20742477993510774,0.19692260936155156,0.9326612903225806,0.9232784431137725,0.9279698667181766
9,0.2099793510834589,0.20821469214002966,0.9342741935483871,0.8802395209580839,0.9072568572532356
10,0.19828555705843443,0.17745656608524968,0.9334677419354839,0.9247754491017964,0.9291215955186402
11,0.1972867669677262,0.20755678970934982,0.9213709677419355,0.9098053892215568,0.9155881784817461
12,0.19302681362459823,0.17447147928809714,0.9354838709677419,0.9247754491017964,0.9301296600347692
13,0.1935833912717709,0.1861827425911265,0.9221774193548387,0.9244011976047904,0.9232893084798146
14,0.18811915876299973,0.18034022882328196,0.9330645161290323,0.9240269461077845,0.9285457311184084
15,0.1821980901836264,0.17302426942071672,0.9358870967741936,0.9251497005988024,0.930518398686498
16,0.1817617609307202,0.17633939622822453,0.9350806451612903,0.9229041916167665,0.9289924183890284
17,0.17619863351132936,0.17953939672748923,0.9342741935483871,0.9236526946107785,0.9289634440795829
18,0.18164841739791873,0.27749839159896816,0.8891129032258065,0.9090568862275449,0.8990848947266756
19,0.1847026777838614,0.169057452135672,0.9350806451612903,0.9240269461077845,0.9295537956345374
20,0.17700144009588872,0.22260590339616193,0.9350806451612903,0.8821107784431138,0.9085957118022021
21,0.17850822388200485,0.17296926702483226,0.9346774193548387,0.9247754491017964,0.9297264342283176
22,0.1721002623295248,0.17075509331741576,0.9354838709677419,0.9244011976047904,0.9299425342862662
23,0.18066114517092322,0.17166219841120606,0.9350806451612903,0.9247754491017964,0.9299280471315434
24,0.17243177811884394,0.26290392585225025,0.9318548387096774,0.8821107784431138,0.9069828085763956
25,0.1757758798664017,0.16813026936882633,0.9354838709677419,0.9251497005988024,0.9303167857832721
