epoch,accuracy,precision,recall,f1
1,0.33628983764281417,0.4132252844586738,0.33628983764281417,0.18604818753106564
2,0.3792844257366206,0.36078111477241126,0.3792844257366206,0.29822298740744585
3,0.3855983162958509,0.2652732421218694,0.3855983162958509,0.3013493830232012
4,0.3917618761274805,0.3749266894567788,0.3917618761274805,0.3078849082475246
5,0.39296452194828624,0.3942146544556139,0.39296452194828624,0.3401894927873332
6,0.40438965724594106,0.41102160267195936,0.40438965724594106,0.38449782290637197
7,0.39266386049308477,0.39840735542404676,0.39266386049308477,0.3351953320190296
8,0.40123271196632593,0.4061862727572892,0.40123271196632593,0.3471291274787966
9,0.43701142513529767,0.4743117308239417,0.43701142513529767,0.40936273301212217
10,0.44723391461214673,0.4524963971188417,0.44723391461214673,0.444062466595495
11,0.4485868911605532,0.4726671896801647,0.4485868911605532,0.4319393609421878
12,0.45490078171978354,0.4825421564082628,0.45490078171978354,0.4408063577061866
13,0.5133794347564642,0.512971104584137,0.5133794347564642,0.5087577024128282
14,0.5269092002405291,0.5286078283030149,0.5269092002405291,0.5065970464561536
15,0.5432952495490078,0.5637897084055117,0.5432952495490078,0.512743441069739
16,0.5754660252555622,0.5741049242524159,0.5754660252555622,0.5740762454387998
17,0.6119963920625375,0.6100920932333145,0.6119963920625375,0.6095579689181386
18,0.6539386650631389,0.6697469642515926,0.6539386650631389,0.6511845753234362
19,0.6614552014431749,0.7031492990899557,0.6614552014431749,0.647967308086048
20,0.7073060733613951,0.7069387403102403,0.7073060733613951,0.7053250015697201
21,0.6903187011425135,0.74452951215805,0.6903187011425135,0.6820929908477016
22,0.7190318701142514,0.7495167579938793,0.7190318701142514,0.7174391275148686
23,0.7277510523150932,0.7462788507223662,0.7277510523150932,0.7230810069247009
24,0.7098616957306073,0.7405399234098756,0.7098616957306073,0.7029961643834128
25,0.7660853878532772,0.7789867570885599,0.7660853878532772,0.7633848009732676
26,0.7239927841250752,0.7487419509644935,0.7239927841250752,0.7194612180695512
27,0.6243235117257967,0.660617603621142,0.6243235117257967,0.6190818830279523
28,0.7784125075165363,0.7774905816787772,0.7784125075165363,0.7755621675753028
29,0.7140709561034275,0.7361057022593742,0.7140709561034275,0.7103681809250081
30,0.7558628983764282,0.7736376621270912,0.7558628983764282,0.751510816347288
31,0.7009921828021648,0.7243982718611082,0.7009921828021648,0.7014859516118412
32,0.7799158147925436,0.7859054830490183,0.7799158147925436,0.7754469830590428
33,0.7853277209861695,0.7865735665129079,0.7853277209861695,0.7815329933128847
34,0.797504509921828,0.8011932199551872,0.797504509921828,0.791793703284583
35,0.7367708959711365,0.7462116302151565,0.7367708959711365,0.7360850188134704
36,0.8062236921226699,0.8122140717100983,0.8062236921226699,0.8030629222847409
37,0.7976548406494287,0.8114229713333129,0.7976548406494287,0.7917516133954469
38,0.7330126277811184,0.7373439858786767,0.7330126277811184,0.7322647939805954
39,0.797504509921828,0.8347983597065962,0.797504509921828,0.7857045995225688
40,0.8108839446782923,0.8205275734622616,0.8108839446782923,0.8078718959750729
41,0.7755562236921226,0.7840513683652375,0.7755562236921226,0.7743405461295846
42,0.821256764882742,0.8237815094421328,0.821256764882742,0.8172626855717051
43,0.82501503307276,0.8382777580979819,0.82501503307276,0.8203896722018553
44,0.8193024654239327,0.8387671999054359,0.8193024654239327,0.8156357627095617
45,0.8045700541190619,0.8225390976860291,0.8045700541190619,0.8022191250028109
46,0.8296752856283824,0.841415741870033,0.8296752856283824,0.8259367560666765
47,0.8361395069152134,0.8489499231893665,0.8361395069152134,0.8308935763564845
48,0.8211064341551413,0.8242271264896542,0.8211064341551413,0.8186891601317312
49,0.8122369212266988,0.8325320428224295,0.8122369212266988,0.8075107539918769
50,0.8448586891160553,0.8526016235146284,0.8448586891160553,0.84156174441371
51,0.797504509921828,0.7967127579124027,0.797504509921828,0.7943366314051739
52,0.7782621767889356,0.8055286973742313,0.7782621767889356,0.7720226079530045
53,0.8489176187612748,0.853002307032477,0.8489176187612748,0.8458729729168099
54,0.8200541190619363,0.8255908596801491,0.8200541190619363,0.8178528499366932
55,0.8313289236319904,0.8312102487975137,0.8313289236319904,0.8297307034441975
56,0.7916416115453999,0.7929888734325828,0.7916416115453999,0.789902644976309
57,0.8143415514131088,0.8142057417036498,0.8143415514131088,0.8113351472570234
58,0.8373421527360192,0.8436748004209333,0.8373421527360192,0.8333758547103531
59,0.8377931449188214,0.8481816968715238,0.8377931449188214,0.835379422349483
60,0.8474143114852676,0.8570821805358254,0.8474143114852676,0.8440032482776115
61,0.8215574263379435,0.82853508442003,0.8215574263379435,0.8205102387343759
62,0.8450090198436561,0.8597561958446142,0.8450090198436561,0.8410768081337315
63,0.863349368610944,0.8698804077029413,0.863349368610944,0.8603611257604101
64,0.8720685508117859,0.8767711592892391,0.8720685508117859,0.8700657412694742
65,0.8359891761876127,0.8365181852800893,0.8359891761876127,0.8341935458778352
66,0.8432050511124474,0.859054869039873,0.8432050511124474,0.8388577990088752
67,0.8546301864101022,0.8651726608010302,0.8546301864101022,0.8511237210492408
68,0.8429043896572459,0.8494822354511633,0.8429043896572459,0.8391359727392941
69,0.8314792543595911,0.8378636961607948,0.8314792543595911,0.8287181210136239
70,0.8644016837041492,0.8673970416848363,0.8644016837041492,0.8621370862975591
71,0.8588394467829225,0.8653715405801797,0.8588394467829225,0.85623973003364
72,0.8723692122669874,0.8793963198063252,0.8723692122669874,0.870261381059547
73,0.8592904389657245,0.8651505733148054,0.8592904389657245,0.8566252503302463
74,0.8705652435357787,0.8797541052782907,0.8705652435357787,0.86794290535757
75,0.8583884546001203,0.863322770866104,0.8583884546001203,0.8558562391204362
76,0.8656043295249549,0.8739933208981833,0.8656043295249549,0.862824900280598
77,0.8752254960914011,0.8829350873069004,0.8752254960914011,0.8730981198239397
78,0.8732711966325917,0.8795283486270848,0.8732711966325917,0.8711814085029717
