epoch,accuracy,precision_avg,recall_avg,f1_avg,precision_HC,recall_HC,f1_HC,precision_PD,recall_PD,f1_PD,precision_DD,recall_DD,f1_DD
1,0.4775510204081633,0.3430088720480453,0.4775510204081633,0.3834917614927598,0.056818181818181816,0.004006410256410256,0.0074850299401197605,0.5193956717027358,0.9137931034482759,0.6623275188752928,0.4302241503976862,0.46484375,0.44686443860307923
2,0.5563775510204082,0.6323849380102059,0.5563775510204082,0.5146651473152565,0.4414542020774315,0.749198717948718,0.5555555555555556,0.6785482825664291,0.7521551724137931,0.713458262350937,0.7683397683397684,0.15546875,0.2586094866796621
3,0.675765306122449,0.6751661485966374,0.675765306122449,0.6630161825978879,0.6706586826347305,0.5384615384615384,0.5973333333333334,0.6781429316640585,0.9339080459770115,0.7857358718646117,0.6763236763236763,0.52890625,0.5935992985532661
4,0.6951530612244898,0.7655894854005547,0.6951530612244898,0.6649982194017631,0.9975845410628019,0.33092948717948717,0.4969915764139591,0.672463768115942,1.0,0.804159445407279,0.6406685236768802,0.71875,0.6774668630338734
5,0.7566326530612245,0.7574586332695169,0.7566326530612245,0.7463584737049892,0.7863247863247863,0.5897435897435898,0.673992673992674,0.7616438356164383,0.9985632183908046,0.8641591544917625,0.724762726488352,0.65625,0.6888068880688807
6,0.8119897959183674,0.8288018062477449,0.8119897959183674,0.80639296063591,0.9413833528722158,0.6434294871794872,0.7643979057591623,0.7746243739565943,1.0,0.8730009407337723,0.7779527559055118,0.771875,0.7749019607843137
7,0.8073979591836735,0.8395352094689614,0.8073979591836735,0.800188668079617,0.998641304347826,0.5889423076923077,0.7409274193548387,0.7495961227786753,1.0,0.8568790397045245,0.7822155237377544,0.8109375,0.7963176064441887
8,0.7908163265306123,0.8003591427533288,0.7908163265306123,0.7836616797908377,0.868421052631579,0.6346153846153846,0.7333333333333333,0.7614879649890591,1.0,0.8645962732919255,0.7762711864406779,0.715625,0.7447154471544716
9,0.8211734693877552,0.8473510325277678,0.8211734693877552,0.8161568905894214,0.9925,0.6362179487179487,0.775390625,0.7623220153340635,1.0,0.8651336233685519,0.7982998454404946,0.80703125,0.8026418026418026
10,0.8137755102040817,0.8329692509819133,0.8137755102040817,0.8081917598140358,0.9567307692307693,0.6378205128205128,0.7653846153846153,0.7759197324414716,1.0,0.8738229755178908,0.7743431221020093,0.7828125,0.7785547785547785
11,0.823469387755102,0.8327431036511299,0.823469387755102,0.8186926890726491,0.8547237076648841,0.7684294871794872,0.809282700421941,0.7763524818739542,1.0,0.8740973312401884,0.872636815920398,0.68515625,0.7676148796498906
12,0.7607142857142857,0.7643770614964158,0.7607142857142857,0.7548229350839438,0.8006535947712419,0.5889423076923077,0.6786703601108033,0.7615062761506276,0.9152298850574713,0.831321370309951,0.7321294206170053,0.76015625,0.745879647374473
13,0.8005102040816326,0.81034549095601,0.8005102040816326,0.7947436740531297,0.8797145769622834,0.6915064102564102,0.7743382682817407,0.759825327510917,1.0,0.8635235732009926,0.7976513098464318,0.68984375,0.7398408043569333
14,0.8107142857142857,0.8150298928869335,0.8107142857142857,0.808243070420044,0.849112426035503,0.6899038461538461,0.7612732095490716,0.7791336180597925,0.9173850574712644,0.8426261959749257,0.8208366219415943,0.8125,0.8166470357283078
15,0.7933673469387755,0.8027030012203623,0.7933673469387755,0.7894795383343349,0.8725274725274725,0.6362179487179487,0.7358665430954587,0.7613365155131265,0.9166666666666666,0.8318122555410691,0.7796101949025487,0.8125,0.7957153787299158
16,0.8369897959183673,0.8549260578496036,0.8369897959183673,0.8330268062281919,0.9730994152046784,0.6666666666666666,0.7912505943889682,0.791907514450867,0.9841954022988506,0.877642536835362,0.8082397003745319,0.84296875,0.8252390057361376
17,0.8030612244897959,0.8076898213204811,0.8030612244897959,0.7997577217281502,0.8474923234390993,0.6634615384615384,0.7442696629213483,0.7787934186471663,0.9181034482758621,0.8427299703264095,0.8003072196620584,0.8140625,0.8071262587141751
18,0.6607142857142857,0.6546788575489473,0.6607142857142857,0.6556583691611091,0.608214849921011,0.6169871794871795,0.6125696101829753,0.7435897435897436,0.8333333333333334,0.7859078590785907,0.603290676416819,0.515625,0.5560235888795282
19,0.8426020408163265,0.8640412223210525,0.8426020408163265,0.838499502599569,0.9987995198079231,0.6666666666666666,0.7996155694377703,0.7944031981724728,0.9992816091954023,0.885141584473433,0.8083832335329342,0.84375,0.8256880733944955
20,0.8415816326530612,0.8632196939513396,0.8415816326530612,0.8374728284960402,0.9987980769230769,0.6658653846153846,0.7990384615384616,0.7930444697833523,0.9992816091954023,0.8842975206611571,0.8073463268365817,0.84140625,0.8240244835501148
21,0.8323979591836734,0.8484945587191268,0.8323979591836734,0.8276646505905062,0.9582850521436849,0.6626602564102564,0.7835149218379914,0.7939497716894978,0.9992816091954023,0.8848600508905853,0.8007662835249042,0.81640625,0.8085106382978723
22,0.8206632653061224,0.83418678452552,0.8206632653061224,0.8150378222674629,0.9317919075144508,0.6458333333333334,0.7628963558920966,0.7941680960548885,0.9978448275862069,0.8844317096466093,0.7825421133231241,0.7984375,0.7904098994586234
23,0.789030612244898,0.8281092131833243,0.789030612244898,0.786263305288963,0.9526558891454965,0.6610576923076923,0.7805108798486282,0.6805691854759568,0.9964080459770115,0.8087463556851312,0.8671259842519685,0.68828125,0.7674216027874564
24,0.825,0.8436356316085472,0.825,0.820662829730545,0.9651972157772621,0.6666666666666666,0.7886255924170616,0.7766610831937465,0.9992816091954023,0.8740182218033302,0.797947908445146,0.78984375,0.7938751472320377
25,0.7951530612244898,0.7997317924611289,0.7951530612244898,0.7910477520161252,0.8401682439537329,0.6402243589743589,0.726693951796271,0.7791336180597925,0.9173850574712644,0.8426261959749257,0.7827067669172932,0.81328125,0.7977011494252874
26,0.8505102040816327,0.8703252939385776,0.8505102040816327,0.8473421689340428,0.9988425925925926,0.6915064102564102,0.8172348484848485,0.7944031981724728,0.9992816091954023,0.885141584473433,0.8275862068965517,0.84375,0.8355899419729207
27,0.8497448979591836,0.869502220026874,0.8497448979591836,0.8465408366494998,0.9976851851851852,0.6907051282051282,0.8162878787878788,0.7939497716894978,0.9992816091954023,0.8848600508905853,0.8266871165644172,0.8421875,0.8343653250773994
28,0.8099489795918368,0.8441250347406223,0.8099489795918368,0.8080291803428373,0.988558352402746,0.6923076923076923,0.8143261074458058,0.7075279755849441,0.9992816091954023,0.8284693269803455,0.8518518518518519,0.71875,0.7796610169491526
29,0.8114795918367347,0.8563985960634345,0.8114795918367347,0.8115014946219103,0.9977064220183486,0.6971153846153846,0.8207547169811321,0.6845472440944882,0.9992816091954023,0.8125,0.905511811023622,0.71875,0.8013937282229965
30,0.8464285714285714,0.8670418201350889,0.8464285714285714,0.8427683439788127,0.9988207547169812,0.6786858974358975,0.808206106870229,0.7945205479452054,1.0,0.8854961832061069,0.8174242424242424,0.84296875,0.83
31,0.8423469387755103,0.8573906706228936,0.8423469387755103,0.8387051679229609,0.9621380846325167,0.6923076923076923,0.8052190121155638,0.7944031981724728,0.9992816091954023,0.885141584473433,0.8237608182533438,0.81796875,0.8208545668365347
32,0.8206632653061224,0.8249922746258254,0.8206632653061224,0.8191024794555205,0.8364950316169828,0.7419871794871795,0.786411889596603,0.7819503331314355,0.9274425287356322,0.8485047650345054,0.8605851979345955,0.78125,0.819000819000819
33,0.8487244897959184,0.8672726287177053,0.8487244897959184,0.8454634779209194,0.9896907216494846,0.6923076923076923,0.8147100424328148,0.7944031981724728,0.9992816091954023,0.885141584473433,0.8271604938271605,0.8375,0.8322981366459627
34,0.8502551020408163,0.8702090180507099,0.8502551020408163,0.8470482435701907,0.9988412514484357,0.6907051282051282,0.8166745618190431,0.7936145952109465,1.0,0.8849332485696122,0.8280890253261703,0.84296875,0.8354626403406891
