train_loss,test_loss,train_acc_hc,train_acc_pd,test_acc_hc,test_acc_pd,test_acc_combined
0.6924410093690931,0.6936433436919232,0.508833922261484,0.5333229885949259,0.53279950723745,0.4556565340018803,0.4942280206196651
0.689727237134455,0.6959773014191868,0.5184865982935448,0.5421677399332764,0.5389590391130274,0.4562832967721717,0.4976211679425996
0.6881005290857295,0.6905872846136287,0.5184004136861157,0.5437970362324462,0.5364952263627965,0.4562832967721717,0.4963892615674841
0.6863595711201737,0.6924252145144404,0.5259846591398776,0.5438746217705019,0.5389590391130274,0.4562832967721717,0.4976211679425996
0.6830987709084737,0.6891527540829717,0.547616995604585,0.5445728916130034,0.5097012627040345,0.4597304920087747,0.4847158773564046
0.6789280884863994,0.6818081095916073,0.5589071791777989,0.5458918457599503,0.5078534031413613,0.4656847383265434,0.48676907073395237
0.6652943453018608,0.6809150574564122,0.600879082995777,0.571883001008612,0.6067138897443795,0.5766217486681291,0.5916678192062543
0.6475426696010471,0.6530658736520883,0.623718003964492,0.6159515866242532,0.5823837388358485,0.5562519586336572,0.5693178487347528
0.6278338184471393,0.6188957731740005,0.6353529259674222,0.6247187524245481,0.5928549430243302,0.5575054841742401,0.5751802135992852
0.598446373216475,0.6118147571881613,0.6670688615013358,0.640313445573745,0.6304280874653526,0.5596991538702601,0.5950636206678064
0.5314740396242371,0.5376811254592169,0.7453244850469706,0.6978043292730235,0.7095780720665229,0.694139768097775,0.701858920082149
0.48393858065412626,0.44672558644190935,0.7790226665517539,0.7397781053611607,0.8056667693255313,0.7680977749921655,0.7868822721588484
0.4541349298355915,0.40869770579192105,0.7936740498147031,0.7571572658856389,0.8269171542962734,0.7599498589783766,0.793433506637325
0.4382271995556723,0.3734005846742059,0.8018615875204689,0.7625882535495384,0.8293809670465044,0.7941084299592605,0.8117446985028824
0.41558077050648196,0.4567980048607807,0.8138412479531155,0.7823725657537435,0.7570064675084693,0.6988404888749609,0.7279234781917151
0.4030192885355851,0.3668986620748935,0.8172886322502801,0.7895880207929242,0.8250692947336002,0.8119711689125666,0.8185202318230834
0.387808677846009,0.3879873922892979,0.8249590623114712,0.7937000543098767,0.8290729904527256,0.8194923221560639,0.8242826563043948
0.37240249867138175,0.44158513539907884,0.8273722313194863,0.8008379238110016,0.8158299969202341,0.770918207458477,0.7933741021893554
0.37483039467605117,0.3239342753781753,0.8315952770835129,0.8031654899526728,0.837696335078534,0.8254465684738327,0.8315714517761834
0.35944166595173865,0.3314012808053672,0.834008446091528,0.8096050896112964,0.8364644287034185,0.8198057035412096,0.8281350661223141
0.3551073591016822,0.32964463800597354,0.8383176764629837,0.81658778803631,0.8484755158607946,0.8226261360075211,0.8355508259341579
0.34989523501023395,0.30556282112184835,0.8392657071447039,0.8171308868027,0.864490298737296,0.8423691632717016,0.8534297310044988
0.34486178516112653,0.29913728567613224,0.8377143842109799,0.8224842889285437,0.8407761010163227,0.8251331870886869,0.8329546440525049
0.34424036069168257,0.30336856953546304,0.8419374299750064,0.8206998215532625,0.8530951647674777,0.8570980883735506,0.8550966265705142
0.32590468852585536,0.32955388147003795,0.846849952598466,0.8272170067499418,0.8278410840776101,0.8367282983390787,0.8322846912083444
0.32827273379896105,0.30132010660203945,0.8454709988796001,0.8281480332066102,0.8574068370803819,0.8401754935756816,0.8487911653280318
0.32640950765806376,0.27642211693079294,0.8447815220201672,0.8325704088757856,0.8632583923621805,0.8921968035098715,0.877727597936026
0.3113998930094783,0.37487984078676523,0.8506420753253469,0.8425013577469159,0.8216815522020327,0.8367282983390787,0.8292049252705557
0.3100649580692303,0.3022900784299487,0.8531414289407911,0.8425789432849716,0.8654142285186326,0.8617988091507365,0.8636065188346845
0.3092065038626751,0.30307786273104803,0.8516762906144962,0.8466909768019241,0.8589467200492763,0.8592917580695707,0.8591192390594236
0.29800251305512954,0.3493314221197245,0.8528828751185038,0.8486306152533167,0.8435478903603326,0.8621121905358822,0.8528300404481074
0.28983976753409374,0.2922891080379486,0.8586572438162544,0.8567770967491659,0.8306128734216199,0.8395487308053902,0.835080802113505
