epoch,accuracy,precision,recall,f1
1,0.6487398739873987,0.6814232237213135,0.6487398739873987,0.6333637047440128
2,0.6788928892889289,0.7058906535666237,0.6788928892889289,0.6688407384164924
3,0.6244374437443745,0.663543462721086,0.6244374437443745,0.5988667546827618
4,0.6491899189918992,0.7208104766213016,0.6491899189918992,0.6197007328493274
5,0.7070207020702071,0.7072358145951725,0.7070207020702071,0.7069993389840368
6,0.6950945094509451,0.7347893885307953,0.6950945094509451,0.682469906200975
7,0.7412241224122412,0.7604418004365608,0.7412241224122412,0.7367802502749516
8,0.7558505850585059,0.7600104703353041,0.7558505850585059,0.7550484351693536
9,0.7551755175517552,0.7626077969349038,0.7551755175517552,0.7536699398697915
10,0.7205220522052205,0.7288367651211833,0.7205220522052205,0.7176027966313336
11,0.7635013501350135,0.7834324569545069,0.7635013501350135,0.7596237183094239
12,0.7605760576057605,0.7605824005828826,0.7605760576057605,0.7605605856885067
13,0.7808280828082809,0.7874959576488569,0.7808280828082809,0.7797326200644916
14,0.7599009900990099,0.7599469484071675,0.7599009900990099,0.7598654194447345
15,0.7799279927992799,0.7799794073025896,0.7799279927992799,0.7798966489408338
16,0.7650765076507651,0.7653670381850808,0.7650765076507651,0.765052953723475
17,0.7668766876687669,0.7713516899450333,0.7668766876687669,0.7660801844508616
18,0.7470747074707471,0.7495860665449755,0.7470747074707471,0.7462755188931457
19,0.7824032403240324,0.7846094129928602,0.7824032403240324,0.7820842535764438
20,0.7826282628262826,0.7848586949287263,0.7826282628262826,0.7823058211733444
21,0.7407740774077408,0.7424231018951069,0.7407740774077408,0.7404585931792189
22,0.7601260126012601,0.7634033272394342,0.7601260126012601,0.759530086253194
23,0.768001800180018,0.7680048262566744,0.768001800180018,0.7680029632227119
24,0.7738523852385238,0.7752465604608227,0.7738523852385238,0.773653405149369
25,0.7608010801080108,0.7639038038487506,0.7608010801080108,0.7599380117653619
26,0.7745274527452746,0.7746161836106545,0.7745274527452746,0.774481403630362
27,0.7596759675967597,0.7658345390182264,0.7596759675967597,0.7580556153804596
28,0.7812781278127813,0.7865887892492952,0.7812781278127813,0.780422867568686
29,0.7738523852385238,0.7748243576356028,0.7738523852385238,0.7737249416027485
30,0.7671017101710171,0.767107738884436,0.7671017101710171,0.7670875918256157
31,0.7828532853285328,0.7829095846562201,0.7828532853285328,0.7828211150554537
32,0.7806030603060305,0.7822504619848951,0.7806030603060305,0.7803729009568445
33,0.7862286228622862,0.7873445544074826,0.7862286228622862,0.7860913927777119
34,0.7731773177317732,0.773628893162104,0.7731773177317732,0.7730263568939749
35,0.7788028802880288,0.7795895244873281,0.7788028802880288,0.7787096108578042
36,0.7743024302430243,0.7745846978579602,0.7743024302430243,0.7741985352456643
37,0.7815031503150315,0.7819624412937021,0.7815031503150315,0.7814599863224457
38,0.7585508550855086,0.7613694358297998,0.7585508550855086,0.7577442250412066
39,0.7866786678667866,0.7880344058303898,0.7866786678667866,0.7865050885819306
40,0.7646264626462647,0.7665762213591447,0.7646264626462647,0.7640727347943255
41,0.7844284428442845,0.7844516120321182,0.7844284428442845,0.7844088782229708
42,0.7713771377137714,0.7722287046039404,0.7713771377137714,0.7711200532242681
43,0.7776777677767777,0.7791055523794872,0.7776777677767777,0.7774791434781186
44,0.7785778577857786,0.7790442006238586,0.7785778577857786,0.77853264678295
45,0.7779027902790279,0.7780199911673767,0.7779027902790279,0.7779014745057515
46,0.7767776777677767,0.7767811931602764,0.7767776777677767,0.7767666897357783
47,0.7781278127812782,0.7782611714557801,0.7781278127812782,0.7781249816754972
48,0.7781278127812782,0.7784434567007397,0.7781278127812782,0.7781033651844957
49,0.7774527452745275,0.7775915560980358,0.7774527452745275,0.7774493533848835
50,0.7776777677767777,0.7778223333096975,0.7776777677767777,0.7776738051892829
