pct_labels,n_samples,acc_hc_vs_pd,acc_pd_vs_dd,acc_combined,precision_hc,recall_hc,f1_hc,precision_pd,recall_pd,f1_pd,val_cse,best_epoch
5,747,0.8101,0.8147,0.8124,0.8097,0.8101,0.8098,0.8195,0.8147,0.8134,0.5577,48
10,1494,0.8569,0.8477,0.8523,0.8603,0.8569,0.8552,0.8617,0.8477,0.8454,0.3205,22
20,2987,0.9274,0.9147,0.9210,0.9338,0.9274,0.9265,0.9219,0.9147,0.9140,0.2170,32
50,7466,0.9194,0.9177,0.9185,0.9279,0.9194,0.9181,0.9276,0.9177,0.9169,0.2239,7
70,10453,0.9371,0.9207,0.9289,0.9431,0.9371,0.9364,0.9290,0.9207,0.9200,0.1709,30
100,14932,0.9359,0.9251,0.9305,0.9425,0.9359,0.9351,0.9346,0.9251,0.9245,0.1705,23
