epoch,train_loss,val_loss,train_accuracy,train_precision_avg,train_recall_avg,train_f1_avg,train_precision_per_class,train_recall_per_class,train_f1_per_class,train_support_per_class,train_confusion_matrix,val_accuracy,val_precision_avg,val_recall_avg,val_f1_avg,val_precision_per_class,val_recall_per_class,val_f1_per_class,val_support_per_class,val_confusion_matrix
1,0.6061461489384383,0.4039661555977191,0.655933576346699,0.6865685579266085,0.655933576346699,0.6152838973654498,0.754014|0.634899,0.306956|0.923283,0.436297|0.752405,4284|5592,1315|2969|429|5163,0.780241935483871,0.7876779987667828,0.780241935483871,0.7810705756050196,0.719128|0.841257,0.818934|0.750000,0.765793|0.793012,1088|1392,891|197|348|1044
2,0.36212092781602956,0.29983238320229416,0.8218914540299717,0.8283626641989186,0.8218914540299717,0.8182483510960051,0.869909|0.796534,0.693044|0.920601,0.771469|0.854085,4284|5592,2969|1315|444|5148,0.8294354838709678,0.8363169659142612,0.8294354838709678,0.8261992459320155,0.880871|0.801493,0.706801|0.925287,0.784294|0.858953,1088|1392,769|319|104|1288
3,0.31605204170852963,0.29661766540701107,0.8591535034426894,0.8726591635902852,0.8591535034426894,0.8554320871003499,0.945488|0.816865,0.716620|0.968348,0.815297|0.886180,4284|5592,3070|1214|177|5415,0.8592741935483871,0.8874840191954938,0.8592741935483871,0.8536712865709121,1.000000|0.799540,0.679228|1.000000,0.808976|0.888605,1088|1392,739|349|0|1392
4,0.2936251456639879,0.29094160676507624,0.8712029161603888,0.8877123018419986,0.8712029161603888,0.8675147062323045,0.972100|0.823063,0.723856|0.984084,0.829810|0.896400,4284|5592,3101|1183|89|5503,0.882258064516129,0.9013665217679405,0.882258064516129,0.8788707903537459,0.995025|0.828162,0.735294|0.997126,0.845666|0.904824,1088|1392,800|288|4|1388
5,0.2598250975285914,0.2546182882230161,0.8893276630214662,0.899686932788852,0.8893276630214662,0.8870863422693125,0.966657|0.848382,0.771475|0.979614,0.858107|0.909287,4284|5592,3305|979|114|5478,0.8911290322580645,0.9056121913753699,0.8911290322580645,0.888579464165574,0.986905|0.842073,0.761949|0.992098,0.859959|0.910950,1088|1392,829|259|11|1381
6,0.23670408294019657,0.2053103959030014,0.9028959092750102,0.9121659304101428,0.9028959092750102,0.9011399349561026,0.977044|0.862463,0.794818|0.985694,0.876561|0.919970,4284|5592,3405|879|80|5512,0.9330645161290323,0.9396318073919476,0.9330645161290323,0.9322272451523854,0.996767|0.894974,0.850184|0.997845,0.917659|0.943614,1088|1392,925|163|3|1389
7,0.2227900031619013,0.18685930582173801,0.9122114216281896,0.9182658447202895,0.9122114216281896,0.9110165409633583,0.970273|0.878424,0.822829|0.980687,0.890489|0.926743,4284|5592,3525|759|108|5484,0.9334677419354839,0.9405183665858662,0.9334677419354839,0.9325995770677021,1.000000|0.894027,0.848346|1.000000,0.917951|0.944049,1088|1392,923|165|0|1392
8,0.20281411801530666,0.1758240232149423,0.9201093560145808,0.9269659650185618,0.9201093560145808,0.9189715492603251,0.983938|0.883320,0.829365|0.989628,0.900063|0.933457,4284|5592,3553|731|58|5534,0.9334677419354839,0.9399572156324201,0.9334677419354839,0.932642627436935,0.996771|0.895551,0.851103|0.997845,0.918195|0.943935,1088|1392,926|162|3|1389
9,0.2083996642516563,0.2705930116570602,0.9208181449979749,0.9269046635974494,0.9208181449979749,0.9197695083194197,0.980252|0.886035,0.834267|0.987124,0.901387|0.933852,4284|5592,3574|710|72|5520,0.9084677419354839,0.9202849419852827,0.9084677419354839,0.9066838283117313,0.995397|0.861577,0.795037|0.997126,0.884006|0.924409,1088|1392,865|223|4|1388
10,0.19761921538785898,0.2566323707795749,0.9244633454840017,0.930460523254402,0.9244633454840017,0.9234841288050043,0.983862|0.889550,0.839636|0.989449,0.906045|0.936844,4284|5592,3597|687|59|5533,0.932258064516129,0.938615331252168,0.932258064516129,0.9314251645716827,0.994624|0.894839,0.850184|0.996408,0.916749|0.942896,1088|1392,925|163|5|1387
11,0.1929373071475126,0.18532545517309237,0.927298501417578,0.9332198543481871,0.927298501417578,0.926372194253766,0.986627|0.892305,0.843838|0.991237,0.909663|0.939173,4284|5592,3615|669|49|5543,0.9354838709677419,0.9421350182906552,0.9354838709677419,0.93467686279748,1.000000|0.896907,0.852941|1.000000,0.920635|0.945652,1088|1392,928|160|0|1392
12,0.1914245982433029,0.17943912340422807,0.930032401782098,0.936115098938869,0.930032401782098,0.9291351097282817,0.990713|0.894288,0.846639|0.993920,0.913027|0.941475,4284|5592,3627|657|34|5558,0.9354838709677419,0.9421350182906552,0.9354838709677419,0.93467686279748,1.000000|0.896907,0.852941|1.000000,0.920635|0.945652,1088|1392,928|160|0|1392
