epoch,train_loss,val_loss,train_accuracy,train_precision_avg,train_recall_avg,train_f1_avg,train_precision_per_class,train_recall_per_class,train_f1_per_class,train_support_per_class,train_confusion_matrix,val_accuracy,val_precision_avg,val_recall_avg,val_f1_avg,val_precision_per_class,val_recall_per_class,val_f1_per_class,val_support_per_class,val_confusion_matrix
1,0.6061461489384383,0.4039661555977191,0.6229338842975206,0.6299182970007761,0.6229338842975206,0.6102302509252683,0.608684|0.653404,0.789700|0.438489,0.687476|0.524796,5592|5056,4416|1176|2839|2217,0.7885479041916168,0.7895406649330163,0.7885479041916168,0.7879066818806034,0.776959|0.803223,0.833333|0.739844,0.804159|0.770232,1392|1280,1160|232|333|947
2,0.36212092781602956,0.29983238320229416,0.8161157024793388,0.8260956252004948,0.8161157024793388,0.8135716137188833,0.775637|0.881903,0.914342|0.707476,0.839297|0.785119,5592|5056,5113|479|1479|3577,0.8357035928143712,0.8429775001996412,0.8357035928143712,0.8341620671670669,0.797999|0.891892,0.916667|0.747656,0.853226|0.813430,1392|1280,1276|116|323|957
3,0.31605204170852963,0.29661766540701107,0.8462622088655146,0.8626842468112441,0.8462622088655146,0.843455700768803,0.792141|0.940706,0.958870|0.721717,0.867567|0.816788,5592|5056,5362|230|1407|3649,0.8357035928143712,0.8429775001996412,0.8357035928143712,0.8341620671670669,0.797999|0.891892,0.916667|0.747656,0.853226|0.813430,1392|1280,1276|116|323|957
4,0.2936251456639879,0.29094160676507624,0.8592223891810669,0.8755831896813098,0.8592223891810669,0.8567567393627755,0.803590|0.955209,0.968705|0.738133,0.878456|0.832757,5592|5056,5417|175|1324|3732,0.8779940119760479,0.899306772632856,0.8779940119760479,0.8756485455098713,0.812427|0.993789,0.995690|0.750000,0.894771|0.854853,1392|1280,1386|6|320|960
5,0.2598250975285914,0.2546182882230161,0.8803531179564238,0.891107837230247,0.8803531179564238,0.8789229760170774,0.831746|0.956763,0.967990|0.783426,0.894711|0.861462,5592|5056,5413|179|1095|3961,0.8895958083832335,0.9048890217934976,0.8895958083832335,0.8880195308989949,0.831020|0.985222,0.989224|0.781250,0.903247|0.871460,1392|1280,1377|15|280|1000
6,0.23670408294019657,0.2053103959030014,0.8980090157776108,0.9076657971383377,0.8980090157776108,0.8969392658502737,0.849953|0.971496,0.978541|0.808940,0.909726|0.882797,5592|5056,5472|120|966|4090,0.9090568862275449,0.9218695507603841,0.9090568862275449,0.9079850124221763,0.852670|0.997124,0.997845|0.812500,0.919563|0.895394,1392|1280,1389|3|240|1040
7,0.2227900031619013,0.18685930582173801,0.9065552216378663,0.9141320945021086,0.9065552216378663,0.9057571242636498,0.862711|0.971004,0.977647|0.827927,0.916590|0.893776,5592|5056,5467|125|870|4186,0.9236526946107785,0.9326204683033572,0.9236526946107785,0.9229984551049165,0.874055|0.996310,0.997126|0.843750,0.931544|0.913706,1392|1280,1388|4|200|1080
8,0.20281411801530666,0.1758240232149423,0.9123779113448535,0.92107847026261,0.9123779113448535,0.9115606350421369,0.865183|0.982900,0.986946|0.829905,0.922062|0.899946,5592|5056,5519|73|860|4196,0.9240269461077845,0.9331024560168942,0.9240269461077845,0.9233704100364662,0.874135|0.997230,0.997845|0.843750,0.931902|0.914092,1392|1280,1389|3|200|1080
9,0.2083996642516563,0.2705930116570602,0.9114387678437266,0.9192393950101506,0.9114387678437266,0.9106758743138812,0.866583|0.977479,0.982654|0.832674,0.920975|0.899284,5592|5056,5495|97|846|4210,0.8652694610778443,0.8677521803683275,0.8652694610778443,0.8647401038594805,0.841270|0.896552,0.913793|0.812500,0.876033|0.852459,1392|1280,1272|120|240|1040
10,0.19761921538785898,0.2566323707795749,0.9132231404958677,0.9216907944759716,0.9132231404958677,0.9124319019022169,0.866520|0.982710,0.986767|0.831883,0.922742|0.901028,5592|5056,5518|74|850|4206,0.8794910179640718,0.8805603466979085,0.8794910179640718,0.8792304110467118,0.863451|0.899167,0.913075|0.842969,0.887570|0.870161,1392|1280,1271|121|201|1079
