epoch,accuracy,precision,recall,f1
1,0.6435643564356436,0.6583603734764273,0.6435643564356436,0.6340583817418263
2,0.6811431143114312,0.6931768030863816,0.6811431143114312,0.6766744162797771
3,0.6687668766876688,0.6777646300319506,0.6687668766876688,0.6639148042291213
4,0.6964446444644464,0.6994162782614896,0.6964446444644464,0.6950310932370309
5,0.6802430243024302,0.7329947580635389,0.6802430243024302,0.6620949608366163
6,0.7151215121512151,0.742656639305235,0.7151215121512151,0.7074132958339026
7,0.7011701170117012,0.7652002798063121,0.7011701170117012,0.6828957368193942
8,0.7452745274527453,0.7697132727662,0.7452745274527453,0.7398212095488036
9,0.7781278127812782,0.7862558746603217,0.7781278127812782,0.7767475195987619
10,0.7497749774977498,0.7803750361393575,0.7497749774977498,0.7432334320054966
11,0.7592259225922592,0.7649182139899371,0.7592259225922592,0.7581282061672674
12,0.7322232223222322,0.7422807936968779,0.7322232223222322,0.7290639693157406
13,0.779027902790279,0.7863130657674647,0.779027902790279,0.7778070336488468
14,0.7452745274527453,0.7493178049288797,0.7452745274527453,0.7440324368654697
15,0.7601260126012601,0.7601485823591292,0.7601260126012601,0.7601297536762519
16,0.7695769576957696,0.7754729691042566,0.7695769576957696,0.7685264328180204
17,0.7477497749774977,0.7542182101843389,0.7477497749774977,0.7458847781900361
18,0.7711521152115212,0.7713375513642463,0.7711521152115212,0.7711432504882023
19,0.7725022502250225,0.7739264116303639,0.7725022502250225,0.7722958988199228
20,0.7725022502250225,0.7738212770617625,0.7725022502250225,0.7723141712070514
21,0.7812781278127813,0.7813711018249866,0.7812781278127813,0.7812788809135914
22,0.7675517551755175,0.768340911770536,0.7675517551755175,0.7674493132481134
23,0.7711521152115212,0.7714294839878936,0.7711521152115212,0.7710467700347364
24,0.7675517551755175,0.7683148339526388,0.7675517551755175,0.7674537416237149
25,0.768001800180018,0.7687401462220036,0.768001800180018,0.767908302017482
26,0.7556255625562557,0.7572277524782182,0.7556255625562557,0.7551234352637665
27,0.7626012601260126,0.764274339788137,0.7626012601260126,0.7623308282881374
28,0.7668766876687669,0.7760453698740997,0.7668766876687669,0.7651646213604104
29,0.7713771377137714,0.7731786019858752,0.7713771377137714,0.7708883928269044
30,0.7736273627362736,0.7761195704092205,0.7736273627362736,0.7732339608984528
31,0.7578757875787578,0.7606694162863963,0.7578757875787578,0.7573686596934865
