epoch,accuracy,precision,recall,f1
1,0.7123222748815166,0.7161457781327722,0.7123222748815166,0.7121835326785642
2,0.7182464454976303,0.718760897245445,0.7182464454976303,0.7171991704654697
3,0.6917061611374408,0.7245519128386565,0.6917061611374408,0.6841113614910318
4,0.7090047393364929,0.729999197748853,0.7090047393364929,0.7051266492372172
5,0.7725118483412322,0.7867858617961875,0.7725118483412322,0.7679335037347913
6,0.7656398104265403,0.7790899600281053,0.7656398104265403,0.7610055394126133
7,0.795734597156398,0.7957306370897649,0.795734597156398,0.7955489441992288
8,0.7895734597156399,0.8208341794302161,0.7895734597156399,0.7822910008521714
9,0.8255924170616113,0.8311824511557491,0.8255924170616113,0.8241549706592249
10,0.821563981042654,0.8225842422559984,0.821563981042654,0.821067428439984
11,0.8220379146919431,0.8222601495199693,0.8220379146919431,0.8217978088488929
12,0.7850710900473934,0.8019519967278432,0.7850710900473934,0.7834551143803198
13,0.8267772511848341,0.8268161758796441,0.8267772511848341,0.8267929496666403
14,0.8146919431279621,0.8240044260409528,0.8146919431279621,0.8141839137013676
15,0.8239336492890995,0.8254063804158165,0.8239336492890995,0.8233328551837688
16,0.8369668246445497,0.8418546223070473,0.8369668246445497,0.835793872373348
17,0.8296208530805688,0.8320668821431182,0.8296208530805688,0.8296649702022049
18,0.8386255924170616,0.838815443184485,0.8386255924170616,0.8384399563644953
19,0.831042654028436,0.8322152029912343,0.831042654028436,0.8305538435699085
20,0.8324644549763033,0.835618209264373,0.8324644549763033,0.8324730630061598
21,0.837914691943128,0.8392096002682669,0.837914691943128,0.8379928105397828
22,0.8421800947867298,0.8422457213340647,0.8421800947867298,0.8420532191317175
23,0.8424170616113744,0.8423909275147389,0.8424170616113744,0.8423523498485616
24,0.8374407582938389,0.8375964348522632,0.8374407582938389,0.8374817116534247
25,0.8409952606635072,0.8410759074884984,0.8409952606635072,0.8408591697875056
26,0.8293838862559242,0.8343772599860974,0.8293838862559242,0.8292753425674877
27,0.8338862559241706,0.834051194104219,0.8338862559241706,0.8339293276976842
28,0.8473933649289099,0.8474026976582616,0.8473933649289099,0.8473056236879586
29,0.8334123222748815,0.8349346078935982,0.8334123222748815,0.8334881778721893
30,0.8360189573459715,0.8360723200331273,0.8360189573459715,0.8358871285873102
31,0.8362559241706161,0.8364225427623958,0.8362559241706161,0.8360738502184963
